,DCFS-BTM_bin.3.s,UT12-BTM_bin.10.o,UT12-BTM_bin.14.s,UT12-BTM_bin.9.s,UT19-BTM_bin.1.p,WLLO-BTM_bin.1.o,WLLO-BTM_bin.14.s,WLUP-BTM_bin.10.s,WLUP-BTM_bin.13.s,WLUP-BTM_bin.9.o,CLBJ-BTM_bin.2.o,DELA-BTM_bin.5.s,TEAK-BTM_bin.1.o,TEAK-BTM_bin.9.s,KONZ-TOP_bin.5.s,KONZ-TOP_bin.6.o,KONZ-TOP_bin.7.p,NWBC-TOP_bin.4.o,ORNL-TOP_bin.2.p,OCTU-TOP_bin.16.o,OCTU-TOP_bin.25.o,OCTU-TOP_bin.9.o,OSBS-TOP_bin.2.o,PPRH-TOP_bin.21.o
H2O_e0,-161.09,-177.683,-135.921,0.0,-171.057,-163.6,-21.1148,18.2567,-258.71,-164.325,-107.636,-68.2742,-64.2745,-81.8137,-114.435,-207.817,-75.3561,-140.499,-88.1389,-177.073,-183.3,-86.995,-182.565,11.9185
Phosphate_e0,17.8589,2.36193,0.228448,43.1741,3.34908,0.805383,7.00586,0.0,2.02903,0.985251,0.0,-0.712396,25.0998,32.6721,0.0,3.05108,0.0,0.0,-67.4595,0.0,21.0964,0.0,0.0,9.85044
H+_e0,-79.2258,100.0,10.6358,-300.55,100.0,100.0,-184.901,100.0,100.0,-85.2599,100.0,100.0,-360.551,-104.063,100.0,100.0,100.0,-814.372,-718.805,-180.533,100.0,-226.367,100.0,-560.613
O2_e0,100.0,100.0,6.64101,100.0,100.0,100.0,0.190176,100.0,100.0,100.0,48.8277,100.0,0.0,100.0,100.0,100.0,39.273,100.0,38.4734,100.0,100.0,100.0,100.0,13.0105
CO2_e0,-103.074,-90.2303,-398.98,-208.563,-80.2388,-95.9002,-1.91552,-362.509,-157.99,-113.369,-31.8462,-181.641,-8.05032,-66.2874,-75.6214,-57.8039,-19.8932,-30.1851,-135.841,-99.3237,-91.2627,-98.7535,-64.5638,-25.4053
D-Glucose_e0,55.969,23.2354,100.0,0.0,13.5747,0.0,100.0,100.0,34.0912,2.09713,11.1869,0.0,100.0,2.29211,45.1319,0.0,3.01957,100.0,100.0,0.0,0.0,0.0,35.3223,100.0
Acetate_e0,-97.7168,0.0,0.0,-300.295,0.0,0.0,0.0,-1000.0,0.0,-92.4758,0.0,0.0,0.0,-130.747,-158.1,-120.968,0.0,0.0,0.0,-92.2822,0.0,-175.96,-62.0195,0.0
5'-Deoxyadenosine_c0,0.0,0.0,0.0,0.0,0.0,-1.07819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.45783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pb_e0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPi_e0,-9.27579,0.0,0.0,-22.0174,0.0,0.0,-3.72323,0.0,0.0,0.0,0.0,0.0,-12.6396,-13.3669,0.0,0.0,-0.262448,0.0,-14.3165,-0.13974,-9.94163,-20.7099,0.0,-5.70219
Cd2+_e0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ca2+_e0,0.033625,0.0276074,0.0270576,0.0439138,0.0265568,0.0261232,0.0131129,0.136681,0.0416722,0.0358239,0.0154549,0.0299357,0.0253352,0.0315309,0.0352083,0.0353215,0.0111878,0.0593173,0.0731505,0.0394829,0.0240623,0.0456467,0.0329392,0.0418608
L-Leucine_e0,5.00143,0.0,0.0,6.5318,3.9501,0.0,0.0,20.3301,6.19838,2.93753,0.0,4.45268,0.0,4.68995,5.23693,5.25377,0.0,8.82294,5.26766,5.87274,0.0,0.0,0.0,0.0
