Compound	DCFS-BTM_bin.3.s	UT12-BTM_bin.10.o	UT12-BTM_bin.14.s	UT12-BTM_bin.9.s	UT19-BTM_bin.1.p	WLLO-BTM_bin.1.o	WLLO-BTM_bin.14.s	WLUP-BTM_bin.10.s	WLUP-BTM_bin.13.s	WLUP-BTM_bin.9.o
H2O_e0	-161.09	-177.683	-135.921	0	-171.057	-163.6	-21.1148	18.2567	-258.71	-164.325
Phosphate_e0	17.8589	2.36193	0.228448	43.1741	3.34908	0.805383	7.00586	0	2.02903	0.985251
H+_e0	-79.2258	100	10.6358	-300.55	100	100	-184.901	100	100	-85.2599
O2_e0	100	100	6.64101	100	100	100	0.190176	100	100	100
CO2_e0	-103.074	-90.2303	-398.98	-208.563	-80.2388	-95.9002	-1.91552	-362.509	-157.99	-113.369
D-Glucose_e0	55.969	23.2354	100	0	13.5747	0	100	100	34.0912	2.09713
Acetate_e0	-97.7168	0	0	-300.295	0	0	0	-1000	0	-92.4758
5'-Deoxyadenosine_c0	0	0	0	0	0	-1.07819	0	0	0	0
Pb_e0	0	0	0	0	0	0	0	0	0	0
PPi_e0	-9.27579	0	0	-22.0174	0	0	-3.72323	0	0	0
Cd2+_e0	0	0	0	0	0	0	0	0	0	0
Ca2+_e0	0.033625	0.0276074	0.0270576	0.0439138	0.0265568	0.0261232	0.0131129	0.136681	0.0416722	0.0358239
L-Leucine_e0	5.00143	0	0	6.5318	3.9501	0	0	20.3301	6.19838	2.93753
Taurine_e0	0	0	0	0	0	0	0	0	0	0
Mg_e0	0.033625	0.0276074	0.0270576	0.0439138	0.0265568	0.0261232	0.0131129	0.136681	0.0416722	0.0358239
K+_e0	0.033625	0.0276074	0.0270576	0.0439138	0.0265568	0.0261232	0.0131129	0.136681	0.0416722	0.0358239
Zn2+_e0	0.033625	0.0276074	0.0270576	0.0439138	0.0265568	0.0261232	0.0131129	0.136681	0.0416722	0.0358239
fe3_e0	0.0798594	0.0552149	0.0541151	0.0878276	0.0531136	0.0620426	0.0262257	0.410042	0.0833443	0.0716479
Hg2+_e0	0	0	0	0	0	0	0	0	0	0
Nitrate_e0	0	0	0	0	0	0	0	100	100	0
L-Isoleucine_e0	3.55076	2.91531	2.85724	4.63724	2.80436	2.75857	1.3847	14.4333	4.40052	3.78296
L-Valine_e0	3.82495	3.14044	3.07789	4.99534	3.02092	2.9716	1.49163	15.5479	0	4.07509
Co2+_e0	0.0210156	0.0276074	0.0270576	0.0439138	0.0265568	0.016327	0.0131129	0	0.0416722	0.0358239
Citrate_e0	0.440631	2.42645	0	0	0.0796704	0.0424502	0	0	0	0
D-Arabinose_e0	0.814782	0	0	0	0	0	0	0	0	0
Riboflavin_e0	0.06725	0.0552149	0.0541151	0.0878276	0.0531136	0.0522464	0.0262257	0.273361	0.0833443	0.0716479
Deoxycytidine_e0	0.173971	0	0	0.227204	0	0	0.0153926	0	0	0
L-Arginine_e0	2.67892	2.1995	2.15569	3.49863	2.14235	2.08125	1.04471	10.8894	3.32004	2.85411
Gly-Met_e0	1.38781	1.16706	0	1.81247	0	0	0.554324	0	1.76162	0.168093
Ala-Gln_e0	3.29354	0	0	0	0	1.86645	0	0	0	0
Cobinamide_e0	0.0126094	0	0	0	0	0.0097962	0	0.136681	0	0
dATP_e0	0.173971	0.142837	0.139992	0.227204	0.137401	0	0.067844	0.707166	0.215606	0.185348
L-Serine_e0	0.736948	0	0	0	1.72175	0	0.850143	0	0	2.32256
dGTP_e0	0.173971	0	0	0.227204	0	0	0.067844	0.570485	0	0
Lanosterol_e0	0.514735	0.422617	0.4142	0.177349	0.406534	0.1055	0.200733	2.09232	0	0.548396
Heme_e0	0.0546406	0.0552149	0.0541151	0.0878276	0.0531136	0.0424502	0.0262257	0.136681	0.0833443	0.0716479
Aminoethanol_e0	0.115629	0.0949357	0	0	0.0913228	0	0.0450921	0.470014	0	0.12319
S-Adenosyl-L-methionine_e0	0.033625	0	0	0.0439138	0	1.10431	0	0.136681	0	1.3463
L-Lysine_e0	3.09961	2.5449	2.49422	0	0	2.40808	0	0	0	0
D-Lactate_e0	-0.0126094	0	0	0	0	0	0	0	0	0
Na+_e0	0	0	0	0	0	0	0	0	0	0
L-Malate_e0	0.0126094	0	0	0	0	0	0	0	0	0
ocdca_e0	0.92503	0.759485	0.744358	1.20808	1.90548	0.718653	0.9548	9.26227	1.14641	0.985523
Cu2+_e0	0.033625	0.0276074	0.0270576	0.0439138	0.0265568	0.0261232	0.0131129	0.136681	0.0416722	0.0358239
L-Tryptophan_e0	0.512573	0.420842	0.41246	0.669413	0.404827	0.398217	0.19989	2.08353	0.635242	0.546093
Oxidized glutathione_e0	0.447068	0.0138037	0	0	0.339813	0	0.167788	0	0	0.458393
ddca_e0	1.35797	1.11495	1.09274	0	0.846693	1.055	0.529572	1.10399	1.68296	1.44678
Gly-Gln_e0	0.117303	0	5.58377	0	0	0	0	0	0	0.635298
Gly-Tyr_e0	1.31045	1.07593	1.0545	1.71142	0	1.01808	0.511039	5.32677	1.49905	0
meso-2_6-Diaminopimelate_e0	0.271594	0.222989	0.218548	4.40275	2.66256	0.211001	1.31468	13.7035	4.17801	3.59167
L-Asparagine_e0	1.67436	0	0	0	1.01908	0	0.989882	0	0	2.32347
Thiamin_e0	0.033625	0.0276074	0	0.0439138	0.0265568	0	0.0131129	0	0	0
Menaquinone 7_e0	0.100875	0.0828223	0.0811727	0.131741	0.0796704	0.0783696	0.0393386	0.410042	0.250033	0.107472
NADP_e0	0.06725	0.0828223	0.0541151	0.0878276	0.0531136	0.0522464	0.0262257	0.273361	0.0833443	0.0716479
CoA_e0	0.06725	0.0276074	0.0541151	0.0439138	0.0265568	0.0261232	0.0262257	0.273361	0.0416722	0.0716479
L-Glutamine_e0	0.0126094	0	0	0	0	0	0	0	0	0
ala-L-asp-L_e0	2.16824	0	0	0	0	0	0	2.40085	0	2.32347
Gly-Phe_e0	1.67795	1.37766	1.35022	2.19138	0	1.3036	0.654356	6.82062	2.07952	1.78768
Mn2+_e0	0.033625	0.0276074	0.0270576	0.0439138	0.0265568	0.0261232	0.0131129	0.136681	0.0416722	0.0358239
GTP_e0	1.4704	0	1.18321	1.92033	0	0	0.573418	0	0	1.56656
L-Histidine_e0	0.860735	0	0	0	0.679803	0	0	0	0	0.917024
Spermidine_e0	0.033625	0.0276074	0.0270576	0.0439138	0.0265568	0.0261232	0.0131129	0.136681	0.0416722	0.0358239
D-Glutamate_e0	0.271594	0	0.218548	0	0.214503	0	0	0	0	0.289355
CMP_e0	0.913294	0	0	0	0	0	0	0	0	0
D-Ribose_e0	0.56	0.0976909	0.709758	0	0	0	0.0131129	0	0	0
gly-pro-L_e0	2.00194	0	0	0	0	1.5553	0	8.13757	2.48104	0
Folate_e0	0.100875	0.0828223	0.0811727	0.131741	0.0796704	0.0783696	0.0393386	0.410042	0.125016	0.107472
AMP_e0	1.23004	1.00991	1.01685	1.60642	0.998034	1.09077	0.492796	4.99993	1.52441	0
Palmitate_e0	1.74096	0	0	2.02032	0	0	0	0	0	0
Putrescine_e0	0.033625	0.0276074	0.0270576	0.0439138	0	0.0261232	0.0131129	0.136681	0.0416722	0.0358239
gly-asn-L_e0	0.506488	3.58113	1.7549	0.304009	3.71982	1.64352	0.711067	8.86484	2.70277	0
TTP_e0	0.173971	0	0	0.227204	0.137401	0	0.120295	1.41433	0.431211	0.221172
UMP_e0	0.986357	0	0	2.48092	0.779019	1.61099	0.740814	0	1.22241	1.05086
Cl-_e0	0.033625	0.0276074	0.0270576	0.0439138	0.0265568	0.0261232	0.0131129	0.136681	0.0416722	0.0358239
Biomass_c0	-10.8592	-8.91579	-8.7382	-14.1819	-8.57649	-8.43645	-4.23478	-44.1408	-13.458	-11.5693
NH3_e0	0	2.96985	-107.23	-100.181	0	-4.75241	0	-324.129	0	1.23888
Sulfate_e0	0	0.0276074	0.0270576	0.0439138	0.0265568	0.0261232	0.0131129	0.136681	0.0416722	0.0358239
Xylose_e0	0	0	0	0	0	4.83392	0	-476.231	0	0
L-alanylglycine_e0	0	0	0	0	0	0	0	0	0	0
ala-L-Thr-L_e0	0	0	0	2.99341	0	0	0.299784	9.31693	2.84061	2.44196
ala-L-glu-L_e0	0	0	0	0	0	2.31272	1.62592	31.3349	0	0
