Compound	KONZ-TOP_bin.5.s	KONZ-TOP_bin.6.o	KONZ-TOP_bin.7.p	NWBC-TOP_bin.4.o	ORNL-TOP_bin.2.p
H+_e0	100	100	100	-814.372	-718.805
Nitrite_e0	0	0	0	-32.4281	100
H2O_e0	-114.435	-207.817	-75.3561	-140.499	-88.1389
NH3_e0	5.86592	-2.99594	0	0	-177.059
D-Glucose_e0	45.1319	0	3.01957	100	100
Nitrate_e0	0	0	0	0	0
O2_e0	100	100	39.273	100	38.4734
CO2_e0	-75.6214	-57.8039	-19.8932	-30.1851	-135.841
Acetate_e0	-158.1	-120.968	0	0	0
Pb_e0	0	0	0	0	0
Salicin_e0	0	0	0	0	0
Cd2+_e0	0	0	0	0	0
GLUM_e0	-101.967	0	0	71.229	100
D-Fructose_e0	0	-8.77255	0	100	100
D-Mannitol_e0	0	0	0	0	0
hexanesulfonate_e0	0	0	0	0	0
Maltose_e0	0	0	0.0451827	0	0
Sucrose_e0	0	0	0.361462	0	0
ethanesulfonate_e0	0	0	0	0	0
Dulcose_e0	0	0	0	0	0
Taurine_e0	0	0	0	0	0
N-Acetyl-D-glucosamine_e0	100	1.14119	0.361462	0	2.36339
Ursin_e0	0	0	0	0	0
Sorbitol_e0	0	0	0	0	0
Mg_e0	0.0352083	0.0353215	0.0111878	0.0593173	0.0731505
D-Mannose_e0	0	0	0	100	100
Isethionate_e0	0	0	0	0	0
butanesulfonate_e0	0	0	0	0	0
fe3_e0	0.0704166	0.070643	0.026571	0.118635	0.173732
Mn2+_e0	0.0352083	0.0353215	0.0111878	0.0593173	0.0731505
Hg2+_e0	0	0	0	0	0
L-Cysteate_e0	0	0	0	0	0
MOPS_e0	0	0	0	0	0
TRHL_e0	1.42191	1.42648	0	0	2.95423
Sulfoacetate_e0	0	0	0	0	0
methanesulfonate_e0	0	0	0	0	0
ddca_e0	1.42191	0.285297	0.451827	0	2.95423
TTP_e0	0.182163	0	0.0578841	0.306899	0.37847
meso-2_6-Diaminopimelate_e0	0.284382	3.5413	0.0903655	5.94709	0.590847
dGTP_e0	0.146954	0.147427	0.0466963	0	0
3'_5'-Cyclic CMP_e0	0.956298	1.99549	0.303874	0	0
Deoxyuridine_e0	0.146954	0	0.0466963	0	0
L-Isoleucine_e0	3.71795	3.7299	1.18142	6.26382	7.65144
Spermidine_e0	0.0352083	0.0353215	0.0111878	0.0593173	0.0731505
Deoxyguanosine_e0	0.0352083	0.0353215	0.0111878	0	0.37847
L-Arginine_e0	2.80506	2.81408	0.891337	4.72583	5.82793
Thiamine phosphate_e0	0.0352083	0	0	0.0593173	0
Folate_e0	0.105625	0.105964	0.0335634	0.177952	0.219451
Putrescine_e0	0.0352083	0.0353215	0.0111878	0.0593173	0.0731505
L-Tryptophan_e0	0.536708	0.538434	0.170545	0	1.11509
Heme_e0	0.0704166	0.070643	0.0181802	0.118635	0.11887
Menaquinone 7_e0	0.21125	0.211929	0.0335634	0.118635	0.219451
Guanosine_e0	0.218292	0	0	0	0
D-Ribose_e0	0.159795	77.1811	0.180731	0	7.61165
L-Methionine_e0	1.48837	0	0.0636832	0	0
ocdca_e0	0.968586	2.42925	0.814629	1.63183	2.01238
L-Aspartate_e0	1.95101	0	0	0	4.7444
Gly-Tyr_e0	1.26652	1.2706	0.436015	2.31173	2.85085
L-Valine_e0	4.00506	4.01793	1.27265	0	0
Co2+_e0	0.0352083	0.0353215	0.00699238	0.0593173	0.045719
Cl-_e0	0.0352083	0.0353215	0.0111878	0.0593173	0.0731505
UMP_e0	1.0328	0	0.328184	0	0
Dephospho-CoA_e0	0.0704166	0.0353215	0	0.118635	0.146301
L-Serine_e0	2.28265	0	0.725336	0	0
Lanosterol_e0	0.415743	0	0.171264	0.269216	1.11979
L-Lysine_e0	3.24556	0	1.03131	0	6.74314
L-Asparagine_e0	2.28354	0	0.725619	0	0
Gly-Gln_e0	3.94041	4.11396	0	0	0
D-Glutamate_e0	0.284382	0.285297	0.0903655	0	0
Aminoethanol_e0	0.121073	0.121463	0.0384723	0	0.251548
GTP_e0	1.32135	0	0.489237	0	3.19883
dATP_e0	0.182163	0	0.0578841	0	0.37847
Myristic acid_e0	0.284382	0.285297	0.0903655	2.87468	0
L-Leucine_e0	5.23693	5.25377	0	8.82294	5.26766
Oxidized glutathione_e0	0.468119	0	0.143156	0	0
Gly-Phe_e0	1.75696	1.76261	0	2.96004	3.65035
L-Histidine_e0	0.901264	0	0	0	0
gly-asp-L_e0	0.332534	0	0	0	0
Ca2+_e0	0.0352083	0.0353215	0.0111878	0.0593173	0.0731505
NADP_e0	0.0704166	0.070643	0.0335634	0.118635	0.146301
dTMP_e0	0.0352083	0.365496	0.0111878	0	0
K+_e0	0.0352083	0.0353215	0.0111878	0.0593173	0.0731505
Cu2+_e0	0.0352083	0.0353215	0.0111878	0.0593173	0.0731505
L-Proline_e0	2.0962	2.10294	0.66609	0	4.35517
Riboflavin_e0	0.0704166	0.070643	0.0223756	0.118635	0.146301
Zn2+_e0	0.0352083	0.0353215	0.0111878	0.0593173	0.0731505
AMP_e0	1.32317	1.47485	0	0	2.67593
Biomass_c0	-11.3705	-11.407	-3.61309	-19.1564	-23.6238
Phosphate_e0	0	3.05108	0	0	-67.4595
Sulfate_e0	0	0.0353215	0.0111878	0.0593173	0.0731505
L-alanylglycine_e0	0	0	0	0	0
ala-L-Thr-L_e0	0	2.40771	0	4.0434	4.98635
ala-L-glu-L_e0	0	0	0.0489171	0	0
Cys-Gly_e0	0	0.0353215	0	0.0593173	1.79887
Gly-Met_e0	0	0	0	0	3.09231
ala-L-asp-L_e0	0	0	0.725619	0	0
5'-Deoxyadenosine_c0	0	-1.45783	0	0	0
Gly-Cys_e0	0	0.868605	0	1.4587	0
Amylotriose_e0	0	0	0	0	0
Thyminose_e0	0	0	0	0	0
Ala-Leu_e0	0	0	0.533026	0	0
HYXN_e0	0	0	0	5.43692	0
gly-pro-L_e0	0	0	0	3.53158	0
Maltohexaose_e0	0	0	0	23.6895	0
Gly-Leu_e0	0	0	1.13107	0	5.61286
gly-glu-L_e0	0	0	0	0	0
Ala-Gln_e0	0	0.778362	0	0	0
met-L-ala-L_e0	0	0	0	2.50754	0
gly-asn-L_e0	0	2.23288	0	3.8472	4.7444
Ala-His_e0	0	0.904162	0.286386	1.51841	1.87251
Isoprene_e0	0	2.50248	0	0	0
GMP_e0	0	1.54459	0	0	0
CoA_e0	0	0.0353215	0.0223756	0	0
Thiamin_e0	0	0.0353215	0.0111878	0	0.0731505
S-Adenosyl-L-methionine_e0	0	1.49316	0.409262	0	0.0731505
Pyridoxal_e0	0	0	0.0111878	0	0
D-Arabinose_e0	0	0	0.271096	0	0
Citrate_e0	0	0	0.492716	0	0
D-Alanine_e0	0	0	0.169543	0	0
L-Threonine_e0	0	0	0.758429	0	0
L-Phenylalanine_e0	0	0	0.558293	0	0
L-Glutamine_e0	0	0	0.755224	0	0
Cobinamide_e0	0	0	0.00419543	0	0.0274314
PPi_e0	0	0	-0.262448	0	-14.3165
Glycerol-3-phosphate_e0	0	0	0.692502	13.9815	100
Niacin_e0	0	0	-0.0111878	0	0
L-Lactate_e0	0	0	0	-944.495	-944.194
Formate_e0	0	0	0	0.0593173	0
Na+_e0	0	0	0	0	0
L-Glutamate_e0	0	0	0	10.8397	0
Ornithine_e0	0	0	0	-4.72583	0
L-Arabinose_e0	0	0	0	0	0
S-Adenosyl-4-methylthio-2-oxobutanoate_c0	0	0	0	0	0
H2S2O3_e0	0	0	0	0	0
Glycerol_e0	0	0	0	0	100
2-Oxoglutarate_e0	0	0	0	0	100
L-methionine R-oxide_e0	0	0	0	0	0
Ni2+_e0	0	0	0	0	0
D-Methionine_e0	0	0	0	0	0
Allantoin_e0	0	0	0	0	0
Cytosine_e0	0	0	0	0	0
L-Malate_e0	0	0	0	0	-89.0577
Acetoacetate_e0	0	0	0	0	0
Butyrate_e0	0	0	0	0	0
L-Methionine S-oxide_e0	0	0	0	0	0
Uracil_e0	0	0	0	0	4.51112
L-Rhamnose_e0	0	0	0	0	0
