Compound	OCTU-TOP_bin.16.o	OCTU-TOP_bin.25.o	OCTU-TOP_bin.9.o	OSBS-TOP_bin.2.o	PPRH-TOP_bin.21.o
H+_e0	-180.533	100	-226.367	100	-560.613
Nitrite_e0	0	0	0	0	0
H2O_e0	-177.073	-183.3	-86.995	-182.565	11.9185
Phosphate_e0	0	21.0964	0	0	9.85044
Na+_e0	0	0	0	0	0
D-Glucose_e0	0	0	0	35.3223	100
Nitrate_e0	0	0	0	0	0
Sulfate_e0	0.0394829	0.0240623	0.0456467	0.0329392	0.0418608
O2_e0	100	100	100	100	13.0105
CO2_e0	-99.3237	-91.2627	-98.7535	-64.5638	-25.4053
Acetate_e0	-92.2822	0	-175.96	-62.0195	0
Pb_e0	0	0	0	0	0
Glycine_e0	8.06382	0	-0.348827	0	0
PPi_e0	-0.13974	-9.94163	-20.7099	0	-5.70219
Salicin_e0	0	0	0	0	0
Cd2+_e0	0	0	0	0	0
GLUM_e0	100	1.53225	100	0	100
D-Fructose_e0	0	0	-0.470906	0	0
Ca2+_e0	0.0394829	0.0240623	0.0456467	0.0329392	0.0418608
L-Leucine_e0	5.87274	0	0	0	0
D-Mannitol_e0	0	0	0	0	0
hexanesulfonate_e0	0	0	0	0	0
Maltose_e0	0.159454	0	0	0	0
Sucrose_e0	0	0	0	0	0
ethanesulfonate_e0	0	0	0	0	0
Dulcose_e0	0	0	0	0	0
Taurine_e0	0	0	0	0	0
D-Serine_e0	0	0	0	0	0
L-Serine_e0	2.85349	0	3.11637	0	2.53923
N-Acetyl-D-glucosamine_e0	0	0.38871	100	0	0.676232
Ursin_e0	0	0	0	0	0
L-Arabinose_e0	0	0	0	0	0
Sorbitol_e0	0	0	0	0	0
D-Alanine_e0	-78	0	-182.459	0	0
Mg_e0	0.0394829	0.0240623	0.0456467	0.0329392	0.0418608
D-Mannose_e0	0.598518	22.926	-75.1139	0	100
Isethionate_e0	0	0	0	0	0
butanesulfonate_e0	0	0	0	0	0
fe3_e0	0.0789657	0.0481247	0.0912934	0.0329392	0.0837217
Mn2+_e0	0.0394829	0.0240623	0.0456467	0.0329392	0.0418608
Cl-_e0	0.0394829	0.0240623	0.0456467	0.0329392	0.0418608
Hg2+_e0	0	0	0	0	0
L-Cysteate_e0	0	0	0	0	0
MOPS_e0	0	0	0	0	0
TRHL_e0	1.27563	0.971775	1.47478	1.06422	1.69058
Sulfoacetate_e0	0	0	0	0	0
L-Isoleucine_e0	4.16934	2.54095	4.82023	3.47834	4.42045
methanesulfonate_e0	0	0	0	0	0
L-Valine_e0	4.4913	2.73717	5.19246	3.74694	4.76181
meso-2_6-Diaminopimelate_e0	3.95851	2.41247	4.57649	0.266055	4.19692
Deoxyguanosine_e0	0.204279	0.124495	0.236169	0.137483	0
L-Proline_e0	2.3507	1.4326	0	0	2.49227
L-Tryptophan_e0	0.601869	0.366802	0.695829	0.502119	0.638118
Heme_e0	0.0789657	0.0481247	0.0912934	0.0329392	0.0837217
ddca_e0	1.59454	0	0	1.32821	1.69058
Spermidine_e0	0.0394829	0.0240623	0.0456467	0.0329392	0.0418608
dATP_e0	0.204279	0.124495	0.236169	0.170423	0.216582
L-Histidine_e0	1.01069	0	1.16847	0	0
CoA_e0	0.0789657	0.0481247	0.0912934	0.0658784	0
Folate_e0	0.118449	0.072187	0.13694	0.0988176	0.125582
Thiamine phosphate_e0	0.0394829	0	0.0456467	0	0
L-Arginine_e0	3.1851	1.91706	3.63669	2.62428	3.33507
UMP_e0	2.23059	0	0	0.96624	2.36494
GTP_e0	1.72656	1.05223	1.99611	1.44041	1.87241
Citrate_e0	0.0789657	0.0240623	5.65993	0	7.75912
Zn2+_e0	0.0394829	0.0240623	0.0456467	0.0329392	0.0418608
NADP_e0	0.0789657	0.0481247	0.0912934	0.0658784	0.0837217
Lanosterol_e0	0.604407	0.109209	0.698764	0.504236	0.640809
NH3_e0	-0.0394829	0	0	0	-89.6151
K+_e0	0.0394829	0.0240623	0.0456467	0.0329392	0.0418608
L-Methionine S-oxide_e0	1.66907	0	0	0	0
Co2+_e0	0.0394829	0.0240623	0.0456467	0.020587	0.0418608
L-Tyrosine_e0	1.53874	0	1.77896	0	0
Deoxycytidine_e0	0.204279	0	0.236169	0	0
