Compounds,DCFS-BTM_bin.3.s,UT12-BTM_bin.10.o,UT12-BTM_bin.14.s,UT12-BTM_bin.9.s,UT19-BTM_bin.1.p,WLLO-BTM_bin.1.o,WLLO-BTM_bin.14.s,WLUP-BTM_bin.10.s,WLUP-BTM_bin.13.s,WLUP-BTM_bin.9.o
O2_e0,100,100,6.64101,100,100,100,0.190176,100,100,100
D-Glucose_e0,55.969,23.2354,100,0,13.5747,0,100,100,34.0912,2.09713
GLUM_e0,0,0,100,-20.9473,2.76358,0.844003,-1.98653,100,4.33652,0
N-Acetyl-D-glucosamine_e0,0,0,-1.3809,100,0,0,0.119027,0,0,1.15742
Phosphate_e0,17.8589,2.36193,0.228448,43.1741,3.34908,0.805383,7.00586,0,2.02903,0.985251
L-Leucine_e0,5.00143,0,0,6.5318,3.9501,0,0,20.3301,6.19838,2.93753
L-Isoleucine_e0,3.55076,2.91531,2.85724,4.63724,2.80436,2.75857,1.3847,14.4333,4.40052,3.78296
L-Valine_e0,3.82495,3.14044,3.07789,4.99534,3.02092,2.9716,1.49163,15.5479,0,4.07509
L-Arginine_e0,2.67892,2.1995,2.15569,3.49863,2.14235,2.08125,1.04471,10.8894,3.32004,2.85411
meso-2_6-Diaminopimelate_e0,0.271594,0.222989,0.218548,4.40275,2.66256,0.211001,1.31468,13.7035,4.17801,3.59167
gly-asn-L_e0,0.506488,3.58113,1.7549,0.304009,3.71982,1.64352,0.711067,8.86484,2.70277,0
Gly-Phe_e0,1.67795,1.37766,1.35022,2.19138,0,1.3036,0.654356,6.82062,2.07952,1.78768
ocdca_e0,0.92503,0.759485,0.744358,1.20808,1.90548,0.718653,0.9548,9.26227,1.14641,0.985523
L-Proline_e0,0,1.64367,1.61093,2.6145,3.28578,0,0.780702,0,0,5.65016
TRHL_e0,0,0.891957,1.09274,1.41879,1.07252,0,0.476615,6.62393,1.34637,1.15742
AMP_e0,1.23004,1.00991,1.01685,1.60642,0.998034,1.09077,0.492796,4.99993,1.52441,0
Gly-Tyr_e0,1.31045,1.07593,1.0545,1.71142,0,1.01808,0.511039,5.32677,1.49905,0
ddca_e0,1.35797,1.11495,1.09274,0,0.846693,1.055,0.529572,1.10399,1.68296,1.44678
UMP_e0,0.986357,0,0,2.48092,0.779019,1.61099,0.740814,0,1.22241,1.05086
Ala-His_e0,0,0.706697,0.692621,1.12411,0,0.668703,0.335664,3.49876,1.06673,0
Gly-Met_e0,1.38781,1.16706,0,1.81247,0,0,0.554324,0,1.76162,0.168093
GTP_e0,1.4704,0,1.18321,1.92033,0,0,0.573418,0,0,1.56656
L-Tryptophan_e0,0.512573,0.420842,0.41246,0.669413,0.404827,0.398217,0.19989,2.08353,0.635242,0.546093
L-Serine_e0,0.736948,0,0,0,1.72175,0,0.850143,0,0,2.32256
Lanosterol_e0,0.514735,0.422617,0.4142,0.177349,0.406534,0.1055,0.200733,2.09232,0,0.548396
Myristic acid_e0,0,0.222989,0.218548,2.12819,0.214503,0.211001,0.105914,0,0.336592,0.289355
TTP_e0,0.173971,0,0,0.227204,0.137401,0,0.120295,1.41433,0.431211,0.221172
dATP_e0,0.173971,0.142837,0.139992,0.227204,0.137401,0,0.067844,0.707166,0.215606,0.185348
Oxidized glutathione_e0,0.447068,0.0138037,0,0,0.339813,0,0.167788,0,0,0.458393
Menaquinone 7_e0,0.100875,0.0828223,0.0811727,0.131741,0.0796704,0.0783696,0.0393386,0.410042,0.250033,0.107472
Folate_e0,0.100875,0.0828223,0.0811727,0.131741,0.0796704,0.0783696,0.0393386,0.410042,0.125016,0.107472
fe3_e0,0.0798594,0.0552149,0.0541151,0.0878276,0.0531136,0.0620426,0.0262257,0.410042,0.0833443,0.0716479
Deoxyguanosine_e0,0,0.142837,0.139992,0,0.137401,0,0,0.136681,0.215606,0.185348
Aminoethanol_e0,0.115629,0.0949357,0,0,0.0913228,0,0.0450921,0.470014,0,0.12319
NADP_e0,0.06725,0.0828223,0.0541151,0.0878276,0.0531136,0.0522464,0.0262257,0.273361,0.0833443,0.0716479
Riboflavin_e0,0.06725,0.0552149,0.0541151,0.0878276,0.0531136,0.0522464,0.0262257,0.273361,0.0833443,0.0716479
Heme_e0,0.0546406,0.0552149,0.0541151,0.0878276,0.0531136,0.0424502,0.0262257,0.136681,0.0833443,0.0716479
CoA_e0,0.06725,0.0276074,0.0541151,0.0439138,0.0265568,0.0261232,0.0262257,0.273361,0.0416722,0.0716479
Ca2+_e0,0.033625,0.0276074,0.0270576,0.0439138,0.0265568,0.0261232,0.0131129,0.136681,0.0416722,0.0358239
Mg_e0,0.033625,0.0276074,0.0270576,0.0439138,0.0265568,0.0261232,0.0131129,0.136681,0.0416722,0.0358239
K+_e0,0.033625,0.0276074,0.0270576,0.0439138,0.0265568,0.0261232,0.0131129,0.136681,0.0416722,0.0358239
Zn2+_e0,0.033625,0.0276074,0.0270576,0.0439138,0.0265568,0.0261232,0.0131129,0.136681,0.0416722,0.0358239
Cu2+_e0,0.033625,0.0276074,0.0270576,0.0439138,0.0265568,0.0261232,0.0131129,0.136681,0.0416722,0.0358239
Mn2+_e0,0.033625,0.0276074,0.0270576,0.0439138,0.0265568,0.0261232,0.0131129,0.136681,0.0416722,0.0358239
Spermidine_e0,0.033625,0.0276074,0.0270576,0.0439138,0.0265568,0.0261232,0.0131129,0.136681,0.0416722,0.0358239
Cl-_e0,0.033625,0.0276074,0.0270576,0.0439138,0.0265568,0.0261232,0.0131129,0.136681,0.0416722,0.0358239
Putrescine_e0,0.033625,0.0276074,0.0270576,0.0439138,0,0.0261232,0.0131129,0.136681,0.0416722,0.0358239
Sulfate_e0,0,0.0276074,0.0270576,0.0439138,0.0265568,0.0261232,0.0131129,0.136681,0.0416722,0.0358239
Co2+_e0,0.0210156,0.0276074,0.0270576,0.0439138,0.0265568,0.016327,0.0131129,0,0.0416722,0.0358239
Thiamin_e0,0.033625,0.0276074,0,0.0439138,0.0265568,0,0.0131129,0,0,0
H+_e0,-79.2258,100,10.6358,-300.55,100,100,-184.901,100,100,-85.2599
