Compounds,KONZ-TOP_bin.5.s,KONZ-TOP_bin.6.o,KONZ-TOP_bin.7.p,NWBC-TOP_bin.4.o,ORNL-TOP_bin.2.p
O2_e0,100,100,39.273,100,38.4734
D-Glucose_e0,45.1319,0,3.01957,100,100
N-Acetyl-D-glucosamine_e0,100,1.14119,0.361462,0,2.36339
GLUM_e0,-101.967,0,0,71.229,100
L-Leucine_e0,5.23693,5.25377,0,8.82294,5.26766
L-Isoleucine_e0,3.71795,3.7299,1.18142,6.26382,7.65144
L-Arginine_e0,2.80506,2.81408,0.891337,4.72583,5.82793
gly-asn-L_e0,0,2.23288,0,3.8472,4.7444
meso-2_6-Diaminopimelate_e0,0.284382,3.5413,0.0903655,5.94709,0.590847
Gly-Phe_e0,1.75696,1.76261,0,2.96004,3.65035
L-Valine_e0,4.00506,4.01793,1.27265,0,0
L-Proline_e0,2.0962,2.10294,0.66609,0,4.35517
Gly-Tyr_e0,1.26652,1.2706,0.436015,2.31173,2.85085
ocdca_e0,0.968586,2.42925,0.814629,1.63183,2.01238
TRHL_e0,1.42191,1.42648,0,0,2.95423
AMP_e0,1.32317,1.47485,0,0,2.67593
ddca_e0,1.42191,0.285297,0.451827,0,2.95423
GTP_e0,1.32135,0,0.489237,0,3.19883
Ala-His_e0,0,0.904162,0.286386,1.51841,1.87251
Myristic acid_e0,0.284382,0.285297,0.0903655,2.87468,0
Gly-Met_e0,0,0,0,0,3.09231
L-Serine_e0,2.28265,0,0.725336,0,0
L-Tryptophan_e0,0.536708,0.538434,0.170545,0,1.11509
Lanosterol_e0,0.415743,0,0.171264,0.269216,1.11979
UMP_e0,1.0328,0,0.328184,0,0
TTP_e0,0.182163,0,0.0578841,0.306899,0.37847
Menaquinone 7_e0,0.21125,0.211929,0.0335634,0.118635,0.219451
Folate_e0,0.105625,0.105964,0.0335634,0.177952,0.219451
dATP_e0,0.182163,0,0.0578841,0,0.37847
Oxidized glutathione_e0,0.468119,0,0.143156,0,0
Aminoethanol_e0,0.121073,0.121463,0.0384723,0,0.251548
Deoxyguanosine_e0,0.0352083,0.0353215,0.0111878,0,0.37847
fe3_e0,0.0704166,0.070643,0.026571,0.118635,0.173732
NADP_e0,0.0704166,0.070643,0.0335634,0.118635,0.146301
Riboflavin_e0,0.0704166,0.070643,0.0223756,0.118635,0.146301
Heme_e0,0.0704166,0.070643,0.0181802,0.118635,0.11887
Ca2+_e0,0.0352083,0.0353215,0.0111878,0.0593173,0.0731505
Mg_e0,0.0352083,0.0353215,0.0111878,0.0593173,0.0731505
K+_e0,0.0352083,0.0353215,0.0111878,0.0593173,0.0731505
Zn2+_e0,0.0352083,0.0353215,0.0111878,0.0593173,0.0731505
Cu2+_e0,0.0352083,0.0353215,0.0111878,0.0593173,0.0731505
Mn2+_e0,0.0352083,0.0353215,0.0111878,0.0593173,0.0731505
Spermidine_e0,0.0352083,0.0353215,0.0111878,0.0593173,0.0731505
Cl-_e0,0.0352083,0.0353215,0.0111878,0.0593173,0.0731505
Putrescine_e0,0.0352083,0.0353215,0.0111878,0.0593173,0.0731505
Co2+_e0,0.0352083,0.0353215,0.00699238,0.0593173,0.045719
Sulfate_e0,0,0.0353215,0.0111878,0.0593173,0.0731505
Thiamin_e0,0,0.0353215,0.0111878,0,0.0731505
CoA_e0,0,0.0353215,0.0223756,0,0
Phosphate_e0,0,3.05108,0,0,-67.4595
H+_e0,100,100,100,-814.372,-718.805
