Compounds,OCTU-TOP_bin.16.o,OCTU-TOP_bin.25.o,OCTU-TOP_bin.9.o,OSBS-TOP_bin.2.o,PPRH-TOP_bin.21.o
O2_e0,100,100,100,100,13.0105
GLUM_e0,100,1.53225,100,0,100
D-Glucose_e0,0,0,0,35.3223,100
N-Acetyl-D-glucosamine_e0,0,0.38871,100,0,0.676232
Phosphate_e0,0,21.0964,0,0,9.85044
L-Valine_e0,4.4913,2.73717,5.19246,3.74694,4.76181
L-Isoleucine_e0,4.16934,2.54095,4.82023,3.47834,4.42045
meso-2_6-Diaminopimelate_e0,3.95851,2.41247,4.57649,0.266055,4.19692
L-Arginine_e0,3.1851,1.91706,3.63669,2.62428,3.33507
L-Serine_e0,2.85349,0,3.11637,0,2.53923
GTP_e0,1.72656,1.05223,1.99611,1.44041,1.87241
Gly-Phe_e0,0,1.20076,2.27786,1.64373,2.08893
ocdca_e0,1.08618,0.661959,1.25575,2.39818,1.1516
TRHL_e0,1.27563,0.971775,1.47478,1.06422,1.69058
L-Proline_e0,2.3507,1.4326,0,0,2.49227
L-Leucine_e0,5.87274,0,0,0,0
UMP_e0,2.23059,0,0,0.96624,2.36494
AMP_e0,1.48381,0.90429,0,1.17201,1.53132
gly-asn-L_e0,0,0,0,2.13637,2.8614
Gly-Met_e0,0,1.01719,1.92964,0,1.7696
ddca_e0,1.59454,0,0,1.32821,1.69058
Myristic acid_e0,0.318909,1.16613,2.21217,0.266055,0.338116
Gly-Tyr_e0,0,0.937766,0,1.28372,1.63142
L-Tryptophan_e0,0.601869,0.366802,0.695829,0.502119,0.638118
Lanosterol_e0,0.604407,0.109209,0.698764,0.504236,0.640809
Ala-His_e0,0,0.61595,0,0.84318,1.07156
Oxidized glutathione_e0,0.505211,0.307895,0.584082,0,0.535639
TTP_e0,0.204279,0.124495,0.236169,0.0180396,0.433164
dATP_e0,0.204279,0.124495,0.236169,0.170423,0.216582
Deoxyguanosine_e0,0.204279,0.124495,0.236169,0.137483,0
Folate_e0,0.118449,0.072187,0.13694,0.0988176,0.125582
Menaquinone 7_e0,0.118449,0.0481247,0.13694,0.0988176,0.125582
Riboflavin_e0,0.0789657,0.0481247,0.0912934,0.0658784,0.0837217
NADP_e0,0.0789657,0.0481247,0.0912934,0.0658784,0.0837217
fe3_e0,0.0789657,0.0481247,0.0912934,0.0329392,0.0837217
Heme_e0,0.0789657,0.0481247,0.0912934,0.0329392,0.0837217
CoA_e0,0.0789657,0.0481247,0.0912934,0.0658784,0
Ca2+_e0,0.0394829,0.0240623,0.0456467,0.0329392,0.0418608
Mg_e0,0.0394829,0.0240623,0.0456467,0.0329392,0.0418608
K+_e0,0.0394829,0.0240623,0.0456467,0.0329392,0.0418608
Zn2+_e0,0.0394829,0.0240623,0.0456467,0.0329392,0.0418608
Cu2+_e0,0.0394829,0.0240623,0.0456467,0.0329392,0.0418608
Mn2+_e0,0.0394829,0.0240623,0.0456467,0.0329392,0.0418608
Spermidine_e0,0.0394829,0.0240623,0.0456467,0.0329392,0.0418608
Cl-_e0,0.0394829,0.0240623,0.0456467,0.0329392,0.0418608
Sulfate_e0,0.0394829,0.0240623,0.0456467,0.0329392,0.0418608
Co2+_e0,0.0394829,0.0240623,0.0456467,0.020587,0.0418608
Putrescine_e0,0,0.0240623,0.0456467,0.0329392,0.0418608
Aminoethanol_e0,0,0,0,0,0.14395
Thiamin_e0,0,0.0240623,0,0.0329392,0.0418608
H+_e0,-180.533,100,-226.367,100,-560.613
