Compounds,DCFS-BTM_bin.3.s,UT12-BTM_bin.10.o,UT12-BTM_bin.14.s,UT12-BTM_bin.9.s,UT19-BTM_bin.1.p,WLLO-BTM_bin.1.o,WLLO-BTM_bin.14.s,WLUP-BTM_bin.10.s,WLUP-BTM_bin.13.s,WLUP-BTM_bin.9.o
O2_e0,2.0,2.0,0.82,2.0,2.0,2.0,0,2.0,2.0,2.0
D-Glucose_e0,1.75,1.37,2.0,0,1.13,0,2.0,2.0,1.53,0.32
Phosphate_e0,1.25,0.37,0,1.64,0.53,0,0.85,0,0.31,0
L-Leucine_e0,0.7,0,0,0.82,0.6,0,0,1.31,0.79,0.47
L-Isoleucine_e0,0.55,0.47,0.46,0.67,0.45,0.44,0.14,1.16,0.64,0.58
L-Valine_e0,0.58,0.5,0.49,0.7,0.48,0.47,0.18,1.19,0,0.61
L-Arginine_e0,0.43,0.34,0.33,0.54,0.33,0.32,0.02,1.04,0.52,0.46
meso-2_6-Diaminopimelate_e0,0,0,0,0.64,0.43,0,0.12,1.14,0.62,0.56
gly-asn-L_e0,0,0.55,0.25,0,0.57,0.22,0,0.95,0.43,0
Gly-Phe_e0,0.23,0.14,0.13,0.34,0,0.12,0,0.83,0.32,0.25
ocdca_e0,0,0,0,0.08,0.28,0,0,0.97,0.06,0
L-Proline_e0,0,0.22,0.21,0.42,0.52,0,0,0,0,0.75
TRHL_e0,0,0,0.04,0.15,0.03,0,0,0.82,0.13,0.07
AMP_e0,0.09,0.01,0.01,0.21,0.0,0.04,0,0.7,0.18,0
Gly-Tyr_e0,0.12,0.03,0.03,0.23,0,0.01,0,0.73,0.18,0
