Compounds,OCTU-TOP_bin.16.o,OCTU-TOP_bin.25.o,OCTU-TOP_bin.9.o,OSBS-TOP_bin.2.o,PPRH-TOP_bin.21.o
O2_e0,2.0,2.0,2.0,2.0,1.11
GLUM_e0,2.0,0.19,2.0,0,2.0
D-Glucose_e0,0,0,0,1.55,2.0
N-Acetyl-D-glucosamine_e0,0,0,2.0,0,0
Phosphate_e0,0,1.32,0,0,0.99
L-Valine_e0,0.65,0.44,0.72,0.57,0.68
L-Isoleucine_e0,0.62,0.41,0.68,0.54,0.65
meso-2_6-Diaminopimelate_e0,0.6,0.38,0.66,0,0.62
L-Arginine_e0,0.5,0.28,0.56,0.42,0.52
L-Serine_e0,0.46,0,0.49,0,0.41
GTP_e0,0.24,0.02,0.3,0.16,0.27
Gly-Phe_e0,0,0.08,0.36,0.22,0.32
ocdca_e0,0.04,0,0.1,0.38,0.06
TRHL_e0,0.11,0,0.17,0.03,0.23
L-Proline_e0,0.37,0.16,0,0,0.4
L-Leucine_e0,0.77,0,0,0,0
UMP_e0,0.35,0,0,0,0.37
gly-asn-L_e0,0,0,0,0.33,0.46
Gly-Met_e0,0,0.01,0.29,0,0.25
ddca_e0,0.2,0,0,0.12,0.23
