Sample,Factor,Value
CLBJ-BTM_bin.2.o,O2_e0,1.69
CLBJ-BTM_bin.2.o,D-Glucose_e0,1.05
CLBJ-BTM_bin.2.o,L-Arginine_e0,0.34
CLBJ-BTM_bin.2.o,GLUM_e0,0.0
CLBJ-BTM_bin.2.o,L-Valine_e0,0.25
CLBJ-BTM_bin.2.o,L-Isoleucine_e0,0.21
CLBJ-BTM_bin.2.o,meso-2_6-Diaminopimelate_e0,0.19
CLBJ-BTM_bin.2.o,L-Leucine_e0,0.0
CLBJ-BTM_bin.2.o,L-Serine_e0,0.01
CLBJ-BTM_bin.2.o,L-Proline_e0,0.0
CLBJ-BTM_bin.2.o,scale_max,2.19
CLBJ-BTM_bin.2.o,scale_min,-0.5
DELA-BTM_bin.5.s,O2_e0,2.0
DELA-BTM_bin.5.s,D-Glucose_e0,0.0
DELA-BTM_bin.5.s,L-Arginine_e0,1.89
DELA-BTM_bin.5.s,GLUM_e0,1.82
DELA-BTM_bin.5.s,L-Valine_e0,0.53
DELA-BTM_bin.5.s,L-Isoleucine_e0,0.5
DELA-BTM_bin.5.s,meso-2_6-Diaminopimelate_e0,0.48
DELA-BTM_bin.5.s,L-Leucine_e0,0.65
DELA-BTM_bin.5.s,L-Serine_e0,0.21
DELA-BTM_bin.5.s,L-Proline_e0,0.25
DELA-BTM_bin.5.s,scale_max,2.5
DELA-BTM_bin.5.s,scale_min,-0.5
TEAK-BTM_bin.1.o,O2_e0,0.0
TEAK-BTM_bin.1.o,D-Glucose_e0,2.0
TEAK-BTM_bin.1.o,L-Arginine_e0,0.31
TEAK-BTM_bin.1.o,GLUM_e0,0.0
TEAK-BTM_bin.1.o,L-Valine_e0,0.46
TEAK-BTM_bin.1.o,L-Isoleucine_e0,0.43
TEAK-BTM_bin.1.o,meso-2_6-Diaminopimelate_e0,0.41
TEAK-BTM_bin.1.o,L-Leucine_e0,0.0
TEAK-BTM_bin.1.o,L-Serine_e0,0.0
TEAK-BTM_bin.1.o,L-Proline_e0,0.0
TEAK-BTM_bin.1.o,scale_max,2.5
TEAK-BTM_bin.1.o,scale_min,-0.5
TEAK-BTM_bin.9.s,O2_e0,2.0
TEAK-BTM_bin.9.s,D-Glucose_e0,0.36
TEAK-BTM_bin.9.s,L-Arginine_e0,0.4
TEAK-BTM_bin.9.s,GLUM_e0,0.0
TEAK-BTM_bin.9.s,L-Valine_e0,0.56
TEAK-BTM_bin.9.s,L-Isoleucine_e0,0.52
TEAK-BTM_bin.9.s,meso-2_6-Diaminopimelate_e0,0.5
TEAK-BTM_bin.9.s,L-Leucine_e0,0.67
TEAK-BTM_bin.9.s,L-Serine_e0,0.33
TEAK-BTM_bin.9.s,L-Proline_e0,0.27
TEAK-BTM_bin.9.s,scale_max,2.5
TEAK-BTM_bin.9.s,scale_min,-0.5
