Sample,Factor,Value
KONZ-TOP_bin.5.s,O2_e0,2.0
KONZ-TOP_bin.5.s,D-Glucose_e0,1.65
KONZ-TOP_bin.5.s,N-Acetyl-D-glucosamine_e0,2.0
KONZ-TOP_bin.5.s,L-Leucine_e0,0.72
KONZ-TOP_bin.5.s,L-Isoleucine_e0,0.57
KONZ-TOP_bin.5.s,L-Arginine_e0,0.45
KONZ-TOP_bin.5.s,gly-asn-L_e0,0.0
KONZ-TOP_bin.5.s,meso-2_6-Diaminopimelate_e0,0.0
KONZ-TOP_bin.5.s,Gly-Phe_e0,0.25
KONZ-TOP_bin.5.s,L-Valine_e0,0.6
KONZ-TOP_bin.5.s,L-Proline_e0,0.32
KONZ-TOP_bin.5.s,Gly-Tyr_e0,0.1
KONZ-TOP_bin.5.s,ocdca_e0,0.0
KONZ-TOP_bin.5.s,TRHL_e0,0.15
KONZ-TOP_bin.5.s,AMP_e0,0.12
KONZ-TOP_bin.5.s,ddca_e0,0.15
KONZ-TOP_bin.5.s,GTP_e0,0.12
KONZ-TOP_bin.5.s,Gly-Met_e0,0.0
KONZ-TOP_bin.5.s,scale_max,2.5
KONZ-TOP_bin.5.s,scale_min,-0.5
KONZ-TOP_bin.6.o,O2_e0,2.0
KONZ-TOP_bin.6.o,D-Glucose_e0,0.0
KONZ-TOP_bin.6.o,N-Acetyl-D-glucosamine_e0,0.06
KONZ-TOP_bin.6.o,L-Leucine_e0,0.72
KONZ-TOP_bin.6.o,L-Isoleucine_e0,0.57
KONZ-TOP_bin.6.o,L-Arginine_e0,0.45
KONZ-TOP_bin.6.o,gly-asn-L_e0,0.35
KONZ-TOP_bin.6.o,meso-2_6-Diaminopimelate_e0,0.55
KONZ-TOP_bin.6.o,Gly-Phe_e0,0.25
KONZ-TOP_bin.6.o,L-Valine_e0,0.6
KONZ-TOP_bin.6.o,L-Proline_e0,0.32
KONZ-TOP_bin.6.o,Gly-Tyr_e0,0.11
KONZ-TOP_bin.6.o,ocdca_e0,0.39
KONZ-TOP_bin.6.o,TRHL_e0,0.16
KONZ-TOP_bin.6.o,AMP_e0,0.17
KONZ-TOP_bin.6.o,ddca_e0,0.0
KONZ-TOP_bin.6.o,GTP_e0,0.0
KONZ-TOP_bin.6.o,Gly-Met_e0,0.0
KONZ-TOP_bin.6.o,scale_max,2.5
KONZ-TOP_bin.6.o,scale_min,-0.5
KONZ-TOP_bin.7.p,O2_e0,1.59
KONZ-TOP_bin.7.p,D-Glucose_e0,0.48
KONZ-TOP_bin.7.p,N-Acetyl-D-glucosamine_e0,0.0
KONZ-TOP_bin.7.p,L-Leucine_e0,0.0
KONZ-TOP_bin.7.p,L-Isoleucine_e0,0.07
KONZ-TOP_bin.7.p,L-Arginine_e0,0.0
KONZ-TOP_bin.7.p,gly-asn-L_e0,0.0
KONZ-TOP_bin.7.p,meso-2_6-Diaminopimelate_e0,0.0
KONZ-TOP_bin.7.p,Gly-Phe_e0,0.0
KONZ-TOP_bin.7.p,L-Valine_e0,0.11
KONZ-TOP_bin.7.p,L-Proline_e0,0.0
KONZ-TOP_bin.7.p,Gly-Tyr_e0,0.0
KONZ-TOP_bin.7.p,ocdca_e0,0.0
KONZ-TOP_bin.7.p,TRHL_e0,0.0
KONZ-TOP_bin.7.p,AMP_e0,0.0
KONZ-TOP_bin.7.p,ddca_e0,0.0
KONZ-TOP_bin.7.p,GTP_e0,0.0
KONZ-TOP_bin.7.p,Gly-Met_e0,0.0
KONZ-TOP_bin.7.p,scale_max,2.5
KONZ-TOP_bin.7.p,scale_min,-0.5
NWBC-TOP_bin.4.o,O2_e0,2.0
NWBC-TOP_bin.4.o,D-Glucose_e0,2.0
NWBC-TOP_bin.4.o,N-Acetyl-D-glucosamine_e0,0.0
NWBC-TOP_bin.4.o,L-Leucine_e0,0.95
NWBC-TOP_bin.4.o,L-Isoleucine_e0,0.8
NWBC-TOP_bin.4.o,L-Arginine_e0,0.67
NWBC-TOP_bin.4.o,gly-asn-L_e0,0.59
NWBC-TOP_bin.4.o,meso-2_6-Diaminopimelate_e0,0.77
NWBC-TOP_bin.4.o,Gly-Phe_e0,0.47
NWBC-TOP_bin.4.o,L-Valine_e0,0.0
NWBC-TOP_bin.4.o,L-Proline_e0,0.0
NWBC-TOP_bin.4.o,Gly-Tyr_e0,0.36
NWBC-TOP_bin.4.o,ocdca_e0,0.21
NWBC-TOP_bin.4.o,TRHL_e0,0.0
NWBC-TOP_bin.4.o,AMP_e0,0.0
NWBC-TOP_bin.4.o,ddca_e0,0.0
NWBC-TOP_bin.4.o,GTP_e0,0.0
NWBC-TOP_bin.4.o,Gly-Met_e0,0.0
NWBC-TOP_bin.4.o,scale_max,2.5
NWBC-TOP_bin.4.o,scale_min,-0.5
ORNL-TOP_bin.2.p,O2_e0,1.59
ORNL-TOP_bin.2.p,D-Glucose_e0,2.0
ORNL-TOP_bin.2.p,N-Acetyl-D-glucosamine_e0,0.37
ORNL-TOP_bin.2.p,L-Leucine_e0,0.72
ORNL-TOP_bin.2.p,L-Isoleucine_e0,0.88
ORNL-TOP_bin.2.p,L-Arginine_e0,0.77
ORNL-TOP_bin.2.p,gly-asn-L_e0,0.68
ORNL-TOP_bin.2.p,meso-2_6-Diaminopimelate_e0,0.0
ORNL-TOP_bin.2.p,Gly-Phe_e0,0.56
ORNL-TOP_bin.2.p,L-Valine_e0,0.0
ORNL-TOP_bin.2.p,L-Proline_e0,0.64
ORNL-TOP_bin.2.p,Gly-Tyr_e0,0.46
ORNL-TOP_bin.2.p,ocdca_e0,0.3
ORNL-TOP_bin.2.p,TRHL_e0,0.47
ORNL-TOP_bin.2.p,AMP_e0,0.43
ORNL-TOP_bin.2.p,ddca_e0,0.47
ORNL-TOP_bin.2.p,GTP_e0,0.51
ORNL-TOP_bin.2.p,Gly-Met_e0,0.49
ORNL-TOP_bin.2.p,scale_max,2.5
ORNL-TOP_bin.2.p,scale_min,-0.5
