Sample,Factor,Value
OCTU-TOP_bin.16.o,O2_e0,2.0
OCTU-TOP_bin.16.o,GLUM_e0,2.0
OCTU-TOP_bin.16.o,D-Glucose_e0,0.0
OCTU-TOP_bin.16.o,N-Acetyl-D-glucosamine_e0,0.0
OCTU-TOP_bin.16.o,Phosphate_e0,0.0
OCTU-TOP_bin.16.o,L-Valine_e0,0.65
OCTU-TOP_bin.16.o,L-Isoleucine_e0,0.62
OCTU-TOP_bin.16.o,meso-2_6-Diaminopimelate_e0,0.6
OCTU-TOP_bin.16.o,L-Arginine_e0,0.5
OCTU-TOP_bin.16.o,L-Serine_e0,0.46
OCTU-TOP_bin.16.o,GTP_e0,0.24
OCTU-TOP_bin.16.o,Gly-Phe_e0,0.0
OCTU-TOP_bin.16.o,ocdca_e0,0.04
OCTU-TOP_bin.16.o,TRHL_e0,0.11
OCTU-TOP_bin.16.o,L-Proline_e0,0.37
OCTU-TOP_bin.16.o,L-Leucine_e0,0.77
OCTU-TOP_bin.16.o,UMP_e0,0.35
OCTU-TOP_bin.16.o,gly-asn-L_e0,0.0
OCTU-TOP_bin.16.o,Gly-Met_e0,0.0
OCTU-TOP_bin.16.o,ddca_e0,0.2
OCTU-TOP_bin.16.o,scale_max,2.5
OCTU-TOP_bin.16.o,scale_min,-0.5
OCTU-TOP_bin.25.o,O2_e0,2.0
OCTU-TOP_bin.25.o,GLUM_e0,0.19
OCTU-TOP_bin.25.o,D-Glucose_e0,0.0
OCTU-TOP_bin.25.o,N-Acetyl-D-glucosamine_e0,0.0
OCTU-TOP_bin.25.o,Phosphate_e0,1.32
OCTU-TOP_bin.25.o,L-Valine_e0,0.44
OCTU-TOP_bin.25.o,L-Isoleucine_e0,0.41
OCTU-TOP_bin.25.o,meso-2_6-Diaminopimelate_e0,0.38
OCTU-TOP_bin.25.o,L-Arginine_e0,0.28
OCTU-TOP_bin.25.o,L-Serine_e0,0.0
OCTU-TOP_bin.25.o,GTP_e0,0.02
OCTU-TOP_bin.25.o,Gly-Phe_e0,0.08
OCTU-TOP_bin.25.o,ocdca_e0,0.0
OCTU-TOP_bin.25.o,TRHL_e0,0.0
OCTU-TOP_bin.25.o,L-Proline_e0,0.16
OCTU-TOP_bin.25.o,L-Leucine_e0,0.0
OCTU-TOP_bin.25.o,UMP_e0,0.0
OCTU-TOP_bin.25.o,gly-asn-L_e0,0.0
OCTU-TOP_bin.25.o,Gly-Met_e0,0.01
OCTU-TOP_bin.25.o,ddca_e0,0.0
OCTU-TOP_bin.25.o,scale_max,2.5
OCTU-TOP_bin.25.o,scale_min,-0.5
OCTU-TOP_bin.9.o,O2_e0,2.0
OCTU-TOP_bin.9.o,GLUM_e0,2.0
OCTU-TOP_bin.9.o,D-Glucose_e0,0.0
OCTU-TOP_bin.9.o,N-Acetyl-D-glucosamine_e0,2.0
OCTU-TOP_bin.9.o,Phosphate_e0,0.0
OCTU-TOP_bin.9.o,L-Valine_e0,0.72
OCTU-TOP_bin.9.o,L-Isoleucine_e0,0.68
OCTU-TOP_bin.9.o,meso-2_6-Diaminopimelate_e0,0.66
OCTU-TOP_bin.9.o,L-Arginine_e0,0.56
OCTU-TOP_bin.9.o,L-Serine_e0,0.49
OCTU-TOP_bin.9.o,GTP_e0,0.3
OCTU-TOP_bin.9.o,Gly-Phe_e0,0.36
OCTU-TOP_bin.9.o,ocdca_e0,0.1
OCTU-TOP_bin.9.o,TRHL_e0,0.17
OCTU-TOP_bin.9.o,L-Proline_e0,0.0
OCTU-TOP_bin.9.o,L-Leucine_e0,0.0
OCTU-TOP_bin.9.o,UMP_e0,0.0
OCTU-TOP_bin.9.o,gly-asn-L_e0,0.0
OCTU-TOP_bin.9.o,Gly-Met_e0,0.29
OCTU-TOP_bin.9.o,ddca_e0,0.0
OCTU-TOP_bin.9.o,scale_max,2.5
OCTU-TOP_bin.9.o,scale_min,-0.5
OSBS-TOP_bin.2.o,O2_e0,2.0
OSBS-TOP_bin.2.o,GLUM_e0,0.0
OSBS-TOP_bin.2.o,D-Glucose_e0,1.55
OSBS-TOP_bin.2.o,N-Acetyl-D-glucosamine_e0,0.0
OSBS-TOP_bin.2.o,Phosphate_e0,0.0
OSBS-TOP_bin.2.o,L-Valine_e0,0.57
OSBS-TOP_bin.2.o,L-Isoleucine_e0,0.54
OSBS-TOP_bin.2.o,meso-2_6-Diaminopimelate_e0,0.0
OSBS-TOP_bin.2.o,L-Arginine_e0,0.42
OSBS-TOP_bin.2.o,L-Serine_e0,0.0
OSBS-TOP_bin.2.o,GTP_e0,0.16
OSBS-TOP_bin.2.o,Gly-Phe_e0,0.22
OSBS-TOP_bin.2.o,ocdca_e0,0.38
OSBS-TOP_bin.2.o,TRHL_e0,0.03
OSBS-TOP_bin.2.o,L-Proline_e0,0.0
OSBS-TOP_bin.2.o,L-Leucine_e0,0.0
OSBS-TOP_bin.2.o,UMP_e0,0.0
OSBS-TOP_bin.2.o,gly-asn-L_e0,0.33
OSBS-TOP_bin.2.o,Gly-Met_e0,0.0
OSBS-TOP_bin.2.o,ddca_e0,0.12
OSBS-TOP_bin.2.o,scale_max,2.5
OSBS-TOP_bin.2.o,scale_min,-0.5
PPRH-TOP_bin.21.o,O2_e0,1.11
PPRH-TOP_bin.21.o,GLUM_e0,2.0
PPRH-TOP_bin.21.o,D-Glucose_e0,2.0
PPRH-TOP_bin.21.o,N-Acetyl-D-glucosamine_e0,0.0
PPRH-TOP_bin.21.o,Phosphate_e0,0.99
PPRH-TOP_bin.21.o,L-Valine_e0,0.68
PPRH-TOP_bin.21.o,L-Isoleucine_e0,0.65
PPRH-TOP_bin.21.o,meso-2_6-Diaminopimelate_e0,0.62
PPRH-TOP_bin.21.o,L-Arginine_e0,0.52
PPRH-TOP_bin.21.o,L-Serine_e0,0.41
PPRH-TOP_bin.21.o,GTP_e0,0.27
PPRH-TOP_bin.21.o,Gly-Phe_e0,0.32
PPRH-TOP_bin.21.o,ocdca_e0,0.06
PPRH-TOP_bin.21.o,TRHL_e0,0.23
PPRH-TOP_bin.21.o,L-Proline_e0,0.4
PPRH-TOP_bin.21.o,L-Leucine_e0,0.0
PPRH-TOP_bin.21.o,UMP_e0,0.37
PPRH-TOP_bin.21.o,gly-asn-L_e0,0.46
PPRH-TOP_bin.21.o,Gly-Met_e0,0.25
PPRH-TOP_bin.21.o,ddca_e0,0.23
PPRH-TOP_bin.21.o,scale_max,2.5
PPRH-TOP_bin.21.o,scale_min,-0.5
