variable,value
Pyrinomonadales,14.9
RBC074,6.4
UBA7656,6.4
Acidoferrales,8.5
Terriglobales,12.8
UBA5066,4.3
Vicinamibacterales,8.5
UBA5794,4.3
Mycobacteriales,14.9
Propionibacteriales,14.9
Streptosporangiales,12.8
Rubrobacterales,4.3
Gaiellales,12.8
Solirubrobacterales,12.8
UBA4738,19.1
Chitinophagales,10.6
Thermomicrobiales,6.4
P2-11E,6.4
UBA9968,19.1
Deferrimicrobiales,4.3
Gemmatimonadales,6.4
Rokubacteriales,19.1
Nitrospirales,6.4
Gemmatales,8.5
Rhizobiales,46.8
Burkholderiales,17.0
Steroidobacterales,8.5
J063,6.4
Chthoniobacterales,29.8
