Mass,SOM category,C,H,O,S,N,P
289.0201201,tannin-like,10,10,10,0,0,0
317.0262681,tannin-like,10,10,10,0,2,0
305.0150347,unclassified,10,10,11,0,0,0
333.0211827,unclassified,10,10,11,0,2,0
205.0618657,lignin-like,10,10,3,0,2,0
237.0339369,lignin-like,10,10,3,1,2,0
221.0567804,lignin-like,10,10,4,0,2,0
253.0288515,lignin-like,10,10,4,1,2,0
225.0227035,lignin-like,10,10,4,1,0,0
237.051695,lignin-like,10,10,5,0,2,0
269.0237662,lignin-like,10,10,5,1,2,0
241.0176181,lignin-like,10,10,5,1,0,0
253.0466096,lignin-like,10,10,6,0,2,0
285.0186808,lignin-like,10,10,6,1,2,0
316.9907519,lignin-like,10,10,6,2,2,0
257.0125328,lignin-like,10,10,6,1,0,0
269.0415242,tannin-like,10,10,7,0,2,0
301.0135954,tannin-like,10,10,7,1,2,0
273.0074474,tannin-like,10,10,7,1,0,0
257.0302908,tannin-like,10,10,8,0,0,0
285.0364388,tannin-like,10,10,8,0,2,0
317.00851,tannin-like,10,10,8,1,2,0
289.002362,tannin-like,10,10,8,1,0,0
320.9744332,tannin-like,10,10,8,2,0,0
273.0252054,tannin-like,10,10,9,0,0,0
301.0313535,tannin-like,10,10,9,0,2,0
333.0034246,tannin-like,10,10,9,1,2,0
304.9972766,tannin-like,10,10,9,1,0,0
336.9693478,tannin-like,10,10,9,2,0,0
304.0310191,tannin-like,10,11,10,0,1,0
336.0030903,tannin-like,10,11,10,1,1,0
321.0017071,tannin-like,10,11,10,0,0,1
352.9737783,tannin-like,10,11,10,1,0,1
336.9966217,unclassified,10,11,11,0,0,1
220.0727648,lignin-like,10,11,3,0,3,0
208.0615314,lignin-like,10,11,4,0,1,0
240.0336026,lignin-like,10,11,4,1,1,0
272.0056737,lignin-like,10,11,4,2,1,0
236.0676794,lignin-like,10,11,4,0,3,0
268.0397506,lignin-like,10,11,4,1,3,0
224.056446,lignin-like,10,11,5,0,1,0
256.0285172,lignin-like,10,11,5,1,1,0
252.062594,lignin-like,10,11,5,0,3,0
284.0346652,lignin-like,10,11,5,1,3,0
240.0513606,lignin-like,10,11,6,0,1,0
272.0234318,lignin-like,10,11,6,1,1,0
