"Column","a","b","c","d"
CAZy:AA1,33.33333333,83.33333333,62.5,37.5
CAZy:CBM20,33.33333333,61.11111111,37.5,37.5
CAZy:CBM32,100,55.55555556,100,37.5
CAZy:CBM50,166.6666667,55.55555556,50,62.5
CAZy:CE1,66.66666667,55.55555556,37.5,25
CAZy:CE14,66.66666667,83.33333333,87.5,37.5
CAZy:CE4,133.3333333,61.11111111,62.5,62.5
CAZy:CE8,100,61.11111111,50,50
CAZy:GH0,100,66.66666667,75,62.5
CAZy:GH1,166.6666667,83.33333333,100,75
CAZy:GH101,166.6666667,77.77777778,87.5,62.5
CAZy:GH109,166.6666667,44.44444444,25,0
CAZy:GH130,200,88.88888889,100,75
CAZy:GH28,166.6666667,77.77777778,50,62.5
CAZy:GH5,166.6666667,66.66666667,87.5,37.5
CAZy:GH9,166.6666667,77.77777778,75,37.5
CAZy:GT1,133.3333333,100,87.5,100
CAZy:GT2,166.6666667,100,100,100
CAZy:GT4,200,94.44444444,87.5,87.5
CAZy:GT55,166.6666667,83.33333333,87.5,62.5
CAZy:GT66,133.3333333,88.88888889,100,87.5
CAZy:GT7,100,61.11111111,37.5,62.5
CAZy:GT81,100,22.22222222,37.5,12.5
CAZy:GT83,166.6666667,77.77777778,87.5,37.5
CAZy:PL4,100,50,12.5,25
