Order,KO,Organism,Sample,Average,Stdev
1,K00826,1_Rhizobiales,1_SurfHigh,1,0.774596669
1,K00826,1_Rhizobiales,2_SurfLow,1.25,1
1,K00826,1_Rhizobiales,3_SubHigh,0.95,0.686332741
1,K00826,1_Rhizobiales,4_SubLow,1,0
1,K00826,2_Chthoniobacterales,1_SurfHigh,1.2,0.447213595
1,K00826,2_Chthoniobacterales,2_SurfLow,1.2,0.836660027
1,K00826,2_Chthoniobacterales,3_SubHigh,0.8,0.632455532
1,K00826,2_Chthoniobacterales,4_SubLow,0.75,0.957427108
1,K00826,3_Rokubacterales,3_SubHigh,1.5,1.048808848
1,K00826,4_Burkholderiales,4_SubLow,0.75,0.5
2,K11381,1_Rhizobiales,1_SurfHigh,0,0
2,K11381,1_Rhizobiales,2_SurfLow,0,0
2,K11381,1_Rhizobiales,3_SubHigh,0,0
2,K11381,1_Rhizobiales,4_SubLow,4.333333333,3.511884584
2,K11381,2_Chthoniobacterales,1_SurfHigh,0,0
2,K11381,2_Chthoniobacterales,2_SurfLow,0.6,0.547722558
2,K11381,2_Chthoniobacterales,3_SubHigh,0.4,0.516397779
2,K11381,2_Chthoniobacterales,4_SubLow,1,1.414213562
2,K11381,3_Rokubacterales,3_SubHigh,3,0.632455532
2,K11381,4_Burkholderiales,4_SubLow,1,0.816496581
3,K09699,1_Rhizobiales,1_SurfHigh,0.090909091,0.301511345
3,K09699,1_Rhizobiales,2_SurfLow,0.0625,0.25
3,K09699,1_Rhizobiales,3_SubHigh,0,0
3,K09699,1_Rhizobiales,4_SubLow,0,0
3,K09699,2_Chthoniobacterales,1_SurfHigh,0,0
3,K09699,2_Chthoniobacterales,2_SurfLow,0,0
3,K09699,2_Chthoniobacterales,3_SubHigh,0.1,0.316227766
3,K09699,2_Chthoniobacterales,4_SubLow,0,0
3,K09699,3_Rokubacterales,3_SubHigh,0,0
3,K09699,4_Burkholderiales,4_SubLow,0,0
4,K00249,1_Rhizobiales,1_SurfHigh,5.727272727,3.165151153
4,K00249,1_Rhizobiales,2_SurfLow,5.5625,4.426718122
4,K00249,1_Rhizobiales,3_SubHigh,4.8,3.887902966
4,K00249,1_Rhizobiales,4_SubLow,0.666666667,0.577350269
4,K00249,2_Chthoniobacterales,1_SurfHigh,0.2,0.447213595
4,K00249,2_Chthoniobacterales,2_SurfLow,0,0
4,K00249,2_Chthoniobacterales,3_SubHigh,0.2,0.632455532
4,K00249,2_Chthoniobacterales,4_SubLow,0.25,0.5
4,K00249,3_Rokubacterales,3_SubHigh,0,0
4,K00249,4_Burkholderiales,4_SubLow,4.25,4.573474245
2a,K00166,1_Rhizobiales,1_SurfHigh,0.090909091,0.301511345
2a,K00166,1_Rhizobiales,2_SurfLow,0.0625,0.25
2a,K00166,1_Rhizobiales,3_SubHigh,0,0
2a,K00166,1_Rhizobiales,4_SubLow,1,0
2a,K00166,2_Chthoniobacterales,1_SurfHigh,0,0
2a,K00166,2_Chthoniobacterales,2_SurfLow,0,0
