Sample,Factor,Value
DCFS-BTM_bin.3.s,O2_e0,2.0
DCFS-BTM_bin.3.s,D-Glucose_e0,1.75
DCFS-BTM_bin.3.s,Phosphate_e0,1.25
DCFS-BTM_bin.3.s,L-Leucine_e0,0.7
DCFS-BTM_bin.3.s,L-Isoleucine_e0,0.55
DCFS-BTM_bin.3.s,L-Valine_e0,0.58
DCFS-BTM_bin.3.s,L-Arginine_e0,0.43
DCFS-BTM_bin.3.s,meso-2_6-Diaminopimelate_e0,0.0
DCFS-BTM_bin.3.s,gly-asn-L_e0,0.0
DCFS-BTM_bin.3.s,Gly-Phe_e0,0.23
DCFS-BTM_bin.3.s,ocdca_e0,0.0
DCFS-BTM_bin.3.s,L-Proline_e0,0.0
DCFS-BTM_bin.3.s,TRHL_e0,0.0
DCFS-BTM_bin.3.s,AMP_e0,0.09
DCFS-BTM_bin.3.s,Gly-Tyr_e0,0.12
DCFS-BTM_bin.3.s,scale_max,2.5
DCFS-BTM_bin.3.s,scale_min,-0.5
UT12-BTM_bin.10.o,O2_e0,2.0
UT12-BTM_bin.10.o,D-Glucose_e0,1.37
UT12-BTM_bin.10.o,Phosphate_e0,0.37
UT12-BTM_bin.10.o,L-Leucine_e0,0.0
UT12-BTM_bin.10.o,L-Isoleucine_e0,0.47
UT12-BTM_bin.10.o,L-Valine_e0,0.5
UT12-BTM_bin.10.o,L-Arginine_e0,0.34
UT12-BTM_bin.10.o,meso-2_6-Diaminopimelate_e0,0.0
UT12-BTM_bin.10.o,gly-asn-L_e0,0.55
UT12-BTM_bin.10.o,Gly-Phe_e0,0.14
UT12-BTM_bin.10.o,ocdca_e0,0.0
UT12-BTM_bin.10.o,L-Proline_e0,0.22
UT12-BTM_bin.10.o,TRHL_e0,0.0
UT12-BTM_bin.10.o,AMP_e0,0.01
UT12-BTM_bin.10.o,Gly-Tyr_e0,0.03
UT12-BTM_bin.10.o,scale_max,2.5
UT12-BTM_bin.10.o,scale_min,-0.5
UT12-BTM_bin.14.s,O2_e0,0.82
UT12-BTM_bin.14.s,D-Glucose_e0,2.0
UT12-BTM_bin.14.s,Phosphate_e0,0.0
UT12-BTM_bin.14.s,L-Leucine_e0,0.0
UT12-BTM_bin.14.s,L-Isoleucine_e0,0.46
UT12-BTM_bin.14.s,L-Valine_e0,0.49
UT12-BTM_bin.14.s,L-Arginine_e0,0.33
UT12-BTM_bin.14.s,meso-2_6-Diaminopimelate_e0,0.0
UT12-BTM_bin.14.s,gly-asn-L_e0,0.25
UT12-BTM_bin.14.s,Gly-Phe_e0,0.13
UT12-BTM_bin.14.s,ocdca_e0,0.0
UT12-BTM_bin.14.s,L-Proline_e0,0.21
UT12-BTM_bin.14.s,TRHL_e0,0.04
UT12-BTM_bin.14.s,AMP_e0,0.01
UT12-BTM_bin.14.s,Gly-Tyr_e0,0.03
UT12-BTM_bin.14.s,scale_max,2.5
UT12-BTM_bin.14.s,scale_min,-0.5
UT12-BTM_bin.9.s,O2_e0,2.0
UT12-BTM_bin.9.s,D-Glucose_e0,0.0
UT12-BTM_bin.9.s,Phosphate_e0,1.64
UT12-BTM_bin.9.s,L-Leucine_e0,0.82
UT12-BTM_bin.9.s,L-Isoleucine_e0,0.67
UT12-BTM_bin.9.s,L-Valine_e0,0.7
UT12-BTM_bin.9.s,L-Arginine_e0,0.54
UT12-BTM_bin.9.s,meso-2_6-Diaminopimelate_e0,0.64
UT12-BTM_bin.9.s,gly-asn-L_e0,0.0
UT12-BTM_bin.9.s,Gly-Phe_e0,0.34
UT12-BTM_bin.9.s,ocdca_e0,0.08
UT12-BTM_bin.9.s,L-Proline_e0,0.42
UT12-BTM_bin.9.s,TRHL_e0,0.15
UT12-BTM_bin.9.s,AMP_e0,0.21
UT12-BTM_bin.9.s,Gly-Tyr_e0,0.23
UT12-BTM_bin.9.s,scale_max,2.5
UT12-BTM_bin.9.s,scale_min,-0.5
UT19-BTM_bin.1.p,O2_e0,2.0
UT19-BTM_bin.1.p,D-Glucose_e0,1.13
UT19-BTM_bin.1.p,Phosphate_e0,0.53
UT19-BTM_bin.1.p,L-Leucine_e0,0.6
UT19-BTM_bin.1.p,L-Isoleucine_e0,0.45
UT19-BTM_bin.1.p,L-Valine_e0,0.48
UT19-BTM_bin.1.p,L-Arginine_e0,0.33
UT19-BTM_bin.1.p,meso-2_6-Diaminopimelate_e0,0.43
UT19-BTM_bin.1.p,gly-asn-L_e0,0.57
UT19-BTM_bin.1.p,Gly-Phe_e0,0.0
UT19-BTM_bin.1.p,ocdca_e0,0.28
UT19-BTM_bin.1.p,L-Proline_e0,0.52
UT19-BTM_bin.1.p,TRHL_e0,0.03
UT19-BTM_bin.1.p,AMP_e0,0.0
UT19-BTM_bin.1.p,Gly-Tyr_e0,0.0
