Sample,Factor,Value
ISNC-BTM_bin.1.p,H+_e0,2.0
ISNC-BTM_bin.1.p,O2_e0,1.61
ISNC-BTM_bin.1.p,D-Glucose_e0,0.76
ISNC-BTM_bin.1.p,L-Lysine_e0,0.05
ISNC-BTM_bin.1.p,L-Arginine_e0,0.0
ISNC-BTM_bin.1.p,Ala-Leu_e0,0.0
ISNC-BTM_bin.1.p,gly-asn-L_e0,0.0
ISNC-BTM_bin.1.p,scale_max,2.5
ISNC-BTM_bin.1.p,scale_min,-0.5
NOGP-BTM_bin.5.p,H+_e0,2.0
NOGP-BTM_bin.5.p,O2_e0,2.0
NOGP-BTM_bin.5.p,D-Glucose_e0,1.61
NOGP-BTM_bin.5.p,L-Lysine_e0,0.45
NOGP-BTM_bin.5.p,L-Arginine_e0,0.39
NOGP-BTM_bin.5.p,Ala-Leu_e0,0.42
NOGP-BTM_bin.5.p,gly-asn-L_e0,0.3
NOGP-BTM_bin.5.p,scale_max,2.5
NOGP-BTM_bin.5.p,scale_min,-0.5
NOGP-BTM_bin.8.o,H+_e0,2.0
NOGP-BTM_bin.8.o,O2_e0,1.59
NOGP-BTM_bin.8.o,D-Glucose_e0,0.82
NOGP-BTM_bin.8.o,L-Lysine_e0,0.02
NOGP-BTM_bin.8.o,L-Arginine_e0,0.0
NOGP-BTM_bin.8.o,Ala-Leu_e0,0.0
NOGP-BTM_bin.8.o,gly-asn-L_e0,0.42
NOGP-BTM_bin.8.o,scale_max,2.5
NOGP-BTM_bin.8.o,scale_min,-0.5
PHTU-BTM_bin.7.p,H+_e0,2.0
PHTU-BTM_bin.7.p,O2_e0,1.65
PHTU-BTM_bin.7.p,D-Glucose_e0,0.93
PHTU-BTM_bin.7.p,L-Lysine_e0,0.11
PHTU-BTM_bin.7.p,L-Arginine_e0,0.05
PHTU-BTM_bin.7.p,Ala-Leu_e0,0.0
PHTU-BTM_bin.7.p,gly-asn-L_e0,0.0
PHTU-BTM_bin.7.p,scale_max,2.5
PHTU-BTM_bin.7.p,scale_min,-0.5
UT12-BTM_bin.11.p,H+_e0,2.0
UT12-BTM_bin.11.p,O2_e0,2.0
UT12-BTM_bin.11.p,D-Glucose_e0,1.54
UT12-BTM_bin.11.p,L-Lysine_e0,0.39
UT12-BTM_bin.11.p,L-Arginine_e0,0.33
UT12-BTM_bin.11.p,Ala-Leu_e0,0.52
UT12-BTM_bin.11.p,gly-asn-L_e0,0.2
UT12-BTM_bin.11.p,scale_max,2.5
UT12-BTM_bin.11.p,scale_min,-0.5
WLLO-BTM_bin.8.s,H+_e0,2.0
WLLO-BTM_bin.8.s,O2_e0,1.6
WLLO-BTM_bin.8.s,D-Glucose_e0,0.52
WLLO-BTM_bin.8.s,L-Lysine_e0,0.02
WLLO-BTM_bin.8.s,L-Arginine_e0,0.0
WLLO-BTM_bin.8.s,Ala-Leu_e0,0.0
WLLO-BTM_bin.8.s,gly-asn-L_e0,0.0
WLLO-BTM_bin.8.s,scale_max,2.5
WLLO-BTM_bin.8.s,scale_min,-0.5
WY03-BTM_bin.3.p,H+_e0,2.0
WY03-BTM_bin.3.p,O2_e0,1.83
WY03-BTM_bin.3.p,D-Glucose_e0,1.41
WY03-BTM_bin.3.p,L-Lysine_e0,0.2
WY03-BTM_bin.3.p,L-Arginine_e0,0.14
WY03-BTM_bin.3.p,Ala-Leu_e0,0.01
WY03-BTM_bin.3.p,gly-asn-L_e0,0.03
WY03-BTM_bin.3.p,scale_max,2.5
WY03-BTM_bin.3.p,scale_min,-0.5
WY03-BTM_bin.4.p,H+_e0,2.0
WY03-BTM_bin.4.p,O2_e0,1.67
WY03-BTM_bin.4.p,D-Glucose_e0,0.82
WY03-BTM_bin.4.p,L-Lysine_e0,0.08
WY03-BTM_bin.4.p,L-Arginine_e0,0.02
WY03-BTM_bin.4.p,Ala-Leu_e0,0.29
WY03-BTM_bin.4.p,gly-asn-L_e0,0.0
WY03-BTM_bin.4.p,scale_max,2.5
WY03-BTM_bin.4.p,scale_min,-0.5
