Sample,Factor,Value
MOAB-BTM_bin.1.o,H+_e0,2.0
MOAB-BTM_bin.1.o,O2_e0,2.0
MOAB-BTM_bin.1.o,D-Glucose_e0,1.27
MOAB-BTM_bin.1.o,L-Lysine_e0,0.0
MOAB-BTM_bin.1.o,L-Arginine_e0,0.33
MOAB-BTM_bin.1.o,Ala-Leu_e0,0.47
MOAB-BTM_bin.1.o,L-Isoleucine_e0,0.0
MOAB-BTM_bin.1.o,scale_max,2.5
MOAB-BTM_bin.1.o,scale_min,-0.5
MOAB-BTM_bin.3.p,H+_e0,2.0
MOAB-BTM_bin.3.p,O2_e0,1.61
MOAB-BTM_bin.3.p,D-Glucose_e0,0.66
MOAB-BTM_bin.3.p,L-Lysine_e0,0.06
MOAB-BTM_bin.3.p,L-Arginine_e0,0.0
MOAB-BTM_bin.3.p,Ala-Leu_e0,0.0
MOAB-BTM_bin.3.p,L-Isoleucine_e0,0.12
MOAB-BTM_bin.3.p,scale_max,2.5
MOAB-BTM_bin.3.p,scale_min,-0.5
ONAQ-BTM_bin.3.p,H+_e0,2.0
ONAQ-BTM_bin.3.p,O2_e0,2.0
ONAQ-BTM_bin.3.p,D-Glucose_e0,1.36
ONAQ-BTM_bin.3.p,L-Lysine_e0,0.37
ONAQ-BTM_bin.3.p,L-Arginine_e0,0.3
ONAQ-BTM_bin.3.p,Ala-Leu_e0,0.57
ONAQ-BTM_bin.3.p,L-Isoleucine_e0,0.43
ONAQ-BTM_bin.3.p,scale_max,2.5
ONAQ-BTM_bin.3.p,scale_min,-0.5
ONAQ-BTM_bin.7.s,H+_e0,2.0
ONAQ-BTM_bin.7.s,O2_e0,1.72
ONAQ-BTM_bin.7.s,D-Glucose_e0,1.15
ONAQ-BTM_bin.7.s,L-Lysine_e0,0.0
ONAQ-BTM_bin.7.s,L-Arginine_e0,0.05
ONAQ-BTM_bin.7.s,Ala-Leu_e0,0.14
ONAQ-BTM_bin.7.s,L-Isoleucine_e0,0.0
ONAQ-BTM_bin.7.s,scale_max,2.5
ONAQ-BTM_bin.7.s,scale_min,-0.5
ONAQ-BTM_bin.8.p,H+_e0,2.0
ONAQ-BTM_bin.8.p,O2_e0,1.63
ONAQ-BTM_bin.8.p,D-Glucose_e0,0.74
ONAQ-BTM_bin.8.p,L-Lysine_e0,0.06
ONAQ-BTM_bin.8.p,L-Arginine_e0,0.0
ONAQ-BTM_bin.8.p,Ala-Leu_e0,0.19
ONAQ-BTM_bin.8.p,L-Isoleucine_e0,0.11
ONAQ-BTM_bin.8.p,scale_max,2.5
ONAQ-BTM_bin.8.p,scale_min,-0.5
PPRH-BTM_bin.1.p,H+_e0,2.0
PPRH-BTM_bin.1.p,O2_e0,1.52
PPRH-BTM_bin.1.p,D-Glucose_e0,1.05
PPRH-BTM_bin.1.p,L-Lysine_e0,0.03
PPRH-BTM_bin.1.p,L-Arginine_e0,0.0
PPRH-BTM_bin.1.p,Ala-Leu_e0,0.2
PPRH-BTM_bin.1.p,L-Isoleucine_e0,0.08
PPRH-BTM_bin.1.p,scale_max,2.5
PPRH-BTM_bin.1.p,scale_min,-0.5
PPRH-BTM_bin.2.p,H+_e0,2.0
PPRH-BTM_bin.2.p,O2_e0,1.82
PPRH-BTM_bin.2.p,D-Glucose_e0,1.32
PPRH-BTM_bin.2.p,L-Lysine_e0,0.25
PPRH-BTM_bin.2.p,L-Arginine_e0,0.18
PPRH-BTM_bin.2.p,Ala-Leu_e0,0.21
PPRH-BTM_bin.2.p,L-Isoleucine_e0,0.31
PPRH-BTM_bin.2.p,scale_max,2.5
PPRH-BTM_bin.2.p,scale_min,-0.5
SOAP-BTM_bin.5.p,H+_e0,2.0
SOAP-BTM_bin.5.p,O2_e0,1.68
SOAP-BTM_bin.5.p,D-Glucose_e0,0.84
SOAP-BTM_bin.5.p,L-Lysine_e0,0.11
SOAP-BTM_bin.5.p,L-Arginine_e0,0.05
SOAP-BTM_bin.5.p,Ala-Leu_e0,0.0
SOAP-BTM_bin.5.p,L-Isoleucine_e0,0.17
SOAP-BTM_bin.5.p,scale_max,2.5
SOAP-BTM_bin.5.p,scale_min,-0.5
