Sample,Factor,Value
CFS2-TOP_bin.10.s,H+_e0,2.0
CFS2-TOP_bin.10.s,O2_e0,2.0
CFS2-TOP_bin.10.s,D-Glucose_e0,1.63
CFS2-TOP_bin.10.s,L-Lysine_e0,0.45
CFS2-TOP_bin.10.s,L-Arginine_e0,0.39
CFS2-TOP_bin.10.s,ocdca_e0,0.35
CFS2-TOP_bin.10.s,Ala-Leu_e0,0.0
CFS2-TOP_bin.10.s,gly-asn-L_e0,0.32
CFS2-TOP_bin.10.s,L-Isoleucine_e0,0.0
CFS2-TOP_bin.10.s,gly-pro-L_e0,0.26
CFS2-TOP_bin.10.s,scale_max,2.5
CFS2-TOP_bin.10.s,scale_min,-0.5
CFS2-TOP_bin.4.s,H+_e0,2.0
CFS2-TOP_bin.4.s,O2_e0,2.0
CFS2-TOP_bin.4.s,D-Glucose_e0,1.62
CFS2-TOP_bin.4.s,L-Lysine_e0,0.46
CFS2-TOP_bin.4.s,L-Arginine_e0,0.39
CFS2-TOP_bin.4.s,ocdca_e0,0.35
CFS2-TOP_bin.4.s,Ala-Leu_e0,0.0
CFS2-TOP_bin.4.s,gly-asn-L_e0,0.3
CFS2-TOP_bin.4.s,L-Isoleucine_e0,0.0
CFS2-TOP_bin.4.s,gly-pro-L_e0,0.27
CFS2-TOP_bin.4.s,scale_max,2.5
CFS2-TOP_bin.4.s,scale_min,-0.5
CFS2-TOP_bin.9.p,H+_e0,2.0
CFS2-TOP_bin.9.p,O2_e0,2.0
CFS2-TOP_bin.9.p,D-Glucose_e0,1.58
CFS2-TOP_bin.9.p,L-Lysine_e0,0.0
CFS2-TOP_bin.9.p,L-Arginine_e0,0.34
CFS2-TOP_bin.9.p,ocdca_e0,0.3
CFS2-TOP_bin.9.p,Ala-Leu_e0,0.0
CFS2-TOP_bin.9.p,gly-asn-L_e0,0.25
CFS2-TOP_bin.9.p,L-Isoleucine_e0,0.0
CFS2-TOP_bin.9.p,gly-pro-L_e0,0.0
CFS2-TOP_bin.9.p,scale_max,2.5
CFS2-TOP_bin.9.p,scale_min,-0.5
JORN-TOP_bin.2.s,H+_e0,2.0
JORN-TOP_bin.2.s,O2_e0,1.81
JORN-TOP_bin.2.s,D-Glucose_e0,1.1
JORN-TOP_bin.2.s,L-Lysine_e0,0.0
JORN-TOP_bin.2.s,L-Arginine_e0,0.11
JORN-TOP_bin.2.s,ocdca_e0,0.07
JORN-TOP_bin.2.s,Ala-Leu_e0,0.38
JORN-TOP_bin.2.s,gly-asn-L_e0,0.01
JORN-TOP_bin.2.s,L-Isoleucine_e0,0.24
JORN-TOP_bin.2.s,gly-pro-L_e0,0.0
JORN-TOP_bin.2.s,scale_max,2.5
JORN-TOP_bin.2.s,scale_min,-0.5
JORN-TOP_bin.3.s,H+_e0,2.0
JORN-TOP_bin.3.s,O2_e0,2.0
JORN-TOP_bin.3.s,D-Glucose_e0,1.51
JORN-TOP_bin.3.s,L-Lysine_e0,0.38
JORN-TOP_bin.3.s,L-Arginine_e0,0.32
JORN-TOP_bin.3.s,ocdca_e0,0.28
JORN-TOP_bin.3.s,Ala-Leu_e0,0.59
JORN-TOP_bin.3.s,gly-asn-L_e0,0.22
JORN-TOP_bin.3.s,L-Isoleucine_e0,0.44
JORN-TOP_bin.3.s,gly-pro-L_e0,0.2
JORN-TOP_bin.3.s,scale_max,2.5
JORN-TOP_bin.3.s,scale_min,-0.5
JORN-TOP_bin.4.p,H+_e0,2.0
JORN-TOP_bin.4.p,O2_e0,2.0
JORN-TOP_bin.4.p,D-Glucose_e0,1.25
JORN-TOP_bin.4.p,L-Lysine_e0,0.38
JORN-TOP_bin.4.p,L-Arginine_e0,0.32
JORN-TOP_bin.4.p,ocdca_e0,0.28
JORN-TOP_bin.4.p,Ala-Leu_e0,0.0
JORN-TOP_bin.4.p,gly-asn-L_e0,0.23
JORN-TOP_bin.4.p,L-Isoleucine_e0,0.31
JORN-TOP_bin.4.p,gly-pro-L_e0,0.0
JORN-TOP_bin.4.p,scale_max,2.5
JORN-TOP_bin.4.p,scale_min,-0.5
OCTU-TOP_bin.12.s,H+_e0,2.0
OCTU-TOP_bin.12.s,O2_e0,1.73
OCTU-TOP_bin.12.s,D-Glucose_e0,1.19
OCTU-TOP_bin.12.s,L-Lysine_e0,0.0
OCTU-TOP_bin.12.s,L-Arginine_e0,0.06
OCTU-TOP_bin.12.s,ocdca_e0,0.0
OCTU-TOP_bin.12.s,Ala-Leu_e0,0.0
OCTU-TOP_bin.12.s,gly-asn-L_e0,0.0
OCTU-TOP_bin.12.s,L-Isoleucine_e0,0.0
OCTU-TOP_bin.12.s,gly-pro-L_e0,0.0
OCTU-TOP_bin.12.s,scale_max,2.5
OCTU-TOP_bin.12.s,scale_min,-0.5
OCTU-TOP_bin.20.s,H+_e0,2.0
OCTU-TOP_bin.20.s,O2_e0,2.0
OCTU-TOP_bin.20.s,D-Glucose_e0,1.55
OCTU-TOP_bin.20.s,L-Lysine_e0,0.41
OCTU-TOP_bin.20.s,L-Arginine_e0,0.34
OCTU-TOP_bin.20.s,ocdca_e0,0.3
OCTU-TOP_bin.20.s,Ala-Leu_e0,0.61
OCTU-TOP_bin.20.s,gly-asn-L_e0,0.25
OCTU-TOP_bin.20.s,L-Isoleucine_e0,0.0
OCTU-TOP_bin.20.s,gly-pro-L_e0,0.22
OCTU-TOP_bin.20.s,scale_max,2.5
OCTU-TOP_bin.20.s,scale_min,-0.5
OCTU-TOP_bin.23.s,H+_e0,2.0
OCTU-TOP_bin.23.s,O2_e0,2.0
OCTU-TOP_bin.23.s,D-Glucose_e0,1.55
OCTU-TOP_bin.23.s,L-Lysine_e0,0.4
OCTU-TOP_bin.23.s,L-Arginine_e0,0.33
OCTU-TOP_bin.23.s,ocdca_e0,0.3
OCTU-TOP_bin.23.s,Ala-Leu_e0,0.0
OCTU-TOP_bin.23.s,gly-asn-L_e0,0.25
OCTU-TOP_bin.23.s,L-Isoleucine_e0,0.0
OCTU-TOP_bin.23.s,gly-pro-L_e0,0.21
OCTU-TOP_bin.23.s,scale_max,2.5
OCTU-TOP_bin.23.s,scale_min,-0.5
OCTU-TOP_bin.8.o,H+_e0,2.0
OCTU-TOP_bin.8.o,O2_e0,2.0
OCTU-TOP_bin.8.o,D-Glucose_e0,1.62
OCTU-TOP_bin.8.o,L-Lysine_e0,0.45
OCTU-TOP_bin.8.o,L-Arginine_e0,0.39
OCTU-TOP_bin.8.o,ocdca_e0,0.35
OCTU-TOP_bin.8.o,Ala-Leu_e0,0.47
OCTU-TOP_bin.8.o,gly-asn-L_e0,0.3
OCTU-TOP_bin.8.o,L-Isoleucine_e0,0.0
OCTU-TOP_bin.8.o,gly-pro-L_e0,0.26
OCTU-TOP_bin.8.o,scale_max,2.5
OCTU-TOP_bin.8.o,scale_min,-0.5
PPRH-TOP_bin.1.s,H+_e0,2.0
PPRH-TOP_bin.1.s,O2_e0,1.81
PPRH-TOP_bin.1.s,D-Glucose_e0,1.32
PPRH-TOP_bin.1.s,L-Lysine_e0,0.22
PPRH-TOP_bin.1.s,L-Arginine_e0,0.16
PPRH-TOP_bin.1.s,ocdca_e0,0.12
PPRH-TOP_bin.1.s,Ala-Leu_e0,0.28
PPRH-TOP_bin.1.s,gly-asn-L_e0,0.0
PPRH-TOP_bin.1.s,L-Isoleucine_e0,0.28
PPRH-TOP_bin.1.s,gly-pro-L_e0,0.03
PPRH-TOP_bin.1.s,scale_max,2.5
PPRH-TOP_bin.1.s,scale_min,-0.5
PPRH-TOP_bin.33.o,H+_e0,2.0
PPRH-TOP_bin.33.o,O2_e0,1.81
PPRH-TOP_bin.33.o,D-Glucose_e0,1.09
PPRH-TOP_bin.33.o,L-Lysine_e0,0.17
PPRH-TOP_bin.33.o,L-Arginine_e0,0.11
PPRH-TOP_bin.33.o,ocdca_e0,0.07
