Sample,Factor,Value
DCFS-BTM_bin.2.o,O2_e0,2.0
DCFS-BTM_bin.2.o,D-Glucose_e0,2.0
DCFS-BTM_bin.2.o,Nitrate_e0,2.0
DCFS-BTM_bin.2.o,Maltose_e0,0.06
DCFS-BTM_bin.2.o,L-Arginine_e0,0.65
DCFS-BTM_bin.2.o,L-Leucine_e0,0.0
DCFS-BTM_bin.2.o,ala-L-Thr-L_e0,0.72
DCFS-BTM_bin.2.o,L-Isoleucine_e0,0.64
DCFS-BTM_bin.2.o,gly-asn-L_e0,0.56
DCFS-BTM_bin.2.o,L-Valine_e0,0.81
DCFS-BTM_bin.2.o,L-Lysine_e0,0.0
DCFS-BTM_bin.2.o,Gly-Phe_e0,0.45
DCFS-BTM_bin.2.o,meso-2_6-Diaminopimelate_e0,0.75
DCFS-BTM_bin.2.o,Gly-Tyr_e0,0.34
DCFS-BTM_bin.2.o,ocdca_e0,0.19
DCFS-BTM_bin.2.o,Ala-His_e0,0.16
DCFS-BTM_bin.2.o,Myristic acid_e0,0.0
DCFS-BTM_bin.2.o,UMP_e0,0.22
DCFS-BTM_bin.2.o,Gly-Met_e0,0.41
DCFS-BTM_bin.2.o,scale_max,2.5
DCFS-BTM_bin.2.o,scale_min,-0.5
ISNC-BTM_bin.4.o,O2_e0,2.0
ISNC-BTM_bin.4.o,D-Glucose_e0,1.67
ISNC-BTM_bin.4.o,Nitrate_e0,1.58
ISNC-BTM_bin.4.o,Maltose_e0,0.0
ISNC-BTM_bin.4.o,L-Arginine_e0,0.4
ISNC-BTM_bin.4.o,L-Leucine_e0,0.27
ISNC-BTM_bin.4.o,ala-L-Thr-L_e0,0.0
ISNC-BTM_bin.4.o,L-Isoleucine_e0,0.39
ISNC-BTM_bin.4.o,gly-asn-L_e0,0.31
ISNC-BTM_bin.4.o,L-Valine_e0,0.56
ISNC-BTM_bin.4.o,L-Lysine_e0,0.0
ISNC-BTM_bin.4.o,Gly-Phe_e0,0.2
ISNC-BTM_bin.4.o,meso-2_6-Diaminopimelate_e0,0.5
ISNC-BTM_bin.4.o,Gly-Tyr_e0,0.09
ISNC-BTM_bin.4.o,ocdca_e0,0.0
ISNC-BTM_bin.4.o,Ala-His_e0,0.0
ISNC-BTM_bin.4.o,Myristic acid_e0,0.19
ISNC-BTM_bin.4.o,UMP_e0,0.0
ISNC-BTM_bin.4.o,Gly-Met_e0,0.0
ISNC-BTM_bin.4.o,scale_max,2.5
ISNC-BTM_bin.4.o,scale_min,-0.5
NOGP-BTM_bin.1.o,O2_e0,2.0
NOGP-BTM_bin.1.o,D-Glucose_e0,2.0
NOGP-BTM_bin.1.o,Nitrate_e0,2.0
NOGP-BTM_bin.1.o,Maltose_e0,1.75
NOGP-BTM_bin.1.o,L-Arginine_e0,0.64
NOGP-BTM_bin.1.o,L-Leucine_e0,0.0
NOGP-BTM_bin.1.o,ala-L-Thr-L_e0,0.57
NOGP-BTM_bin.1.o,L-Isoleucine_e0,0.63
NOGP-BTM_bin.1.o,gly-asn-L_e0,0.55
NOGP-BTM_bin.1.o,L-Valine_e0,0.0
NOGP-BTM_bin.1.o,L-Lysine_e0,0.0
NOGP-BTM_bin.1.o,Gly-Phe_e0,0.43
NOGP-BTM_bin.1.o,meso-2_6-Diaminopimelate_e0,0.74
NOGP-BTM_bin.1.o,Gly-Tyr_e0,0.33
NOGP-BTM_bin.1.o,ocdca_e0,0.18
NOGP-BTM_bin.1.o,Ala-His_e0,0.15
NOGP-BTM_bin.1.o,Myristic acid_e0,0.0
NOGP-BTM_bin.1.o,UMP_e0,0.0
NOGP-BTM_bin.1.o,Gly-Met_e0,0.36
NOGP-BTM_bin.1.o,scale_max,2.5
NOGP-BTM_bin.1.o,scale_min,-0.5
PHTU-BTM_bin.13.o,O2_e0,2.0
PHTU-BTM_bin.13.o,D-Glucose_e0,2.0
PHTU-BTM_bin.13.o,Nitrate_e0,2.0
PHTU-BTM_bin.13.o,Maltose_e0,0.0
PHTU-BTM_bin.13.o,L-Arginine_e0,0.0
PHTU-BTM_bin.13.o,L-Leucine_e0,0.0
PHTU-BTM_bin.13.o,ala-L-Thr-L_e0,0.63
PHTU-BTM_bin.13.o,L-Isoleucine_e0,0.42
PHTU-BTM_bin.13.o,gly-asn-L_e0,0.41
PHTU-BTM_bin.13.o,L-Valine_e0,0.0
PHTU-BTM_bin.13.o,L-Lysine_e0,0.0
PHTU-BTM_bin.13.o,Gly-Phe_e0,0.3
PHTU-BTM_bin.13.o,meso-2_6-Diaminopimelate_e0,0.6
PHTU-BTM_bin.13.o,Gly-Tyr_e0,0.19
PHTU-BTM_bin.13.o,ocdca_e0,0.04
PHTU-BTM_bin.13.o,Ala-His_e0,0.01
PHTU-BTM_bin.13.o,Myristic acid_e0,0.29
PHTU-BTM_bin.13.o,UMP_e0,0.0
PHTU-BTM_bin.13.o,Gly-Met_e0,0.0
PHTU-BTM_bin.13.o,scale_max,2.5
PHTU-BTM_bin.13.o,scale_min,-0.5
PHTU-BTM_bin.15.o,O2_e0,2.0
PHTU-BTM_bin.15.o,D-Glucose_e0,2.0
PHTU-BTM_bin.15.o,Nitrate_e0,2.0
PHTU-BTM_bin.15.o,Maltose_e0,2.0
PHTU-BTM_bin.15.o,L-Arginine_e0,1.11
PHTU-BTM_bin.15.o,L-Leucine_e0,1.38
PHTU-BTM_bin.15.o,ala-L-Thr-L_e0,1.45
PHTU-BTM_bin.15.o,L-Isoleucine_e0,0.0
PHTU-BTM_bin.15.o,gly-asn-L_e0,1.02
PHTU-BTM_bin.15.o,L-Valine_e0,0.0
PHTU-BTM_bin.15.o,L-Lysine_e0,1.17
PHTU-BTM_bin.15.o,Gly-Phe_e0,0.9
PHTU-BTM_bin.15.o,meso-2_6-Diaminopimelate_e0,0.11
PHTU-BTM_bin.15.o,Gly-Tyr_e0,0.8
PHTU-BTM_bin.15.o,ocdca_e0,0.65
PHTU-BTM_bin.15.o,Ala-His_e0,0.61
PHTU-BTM_bin.15.o,Myristic acid_e0,0.89
PHTU-BTM_bin.15.o,UMP_e0,0.96
PHTU-BTM_bin.15.o,Gly-Met_e0,0.0
PHTU-BTM_bin.15.o,scale_max,2.5
PHTU-BTM_bin.15.o,scale_min,-0.5
PHTU-BTM_bin.16.o,O2_e0,2.0
PHTU-BTM_bin.16.o,D-Glucose_e0,1.5
PHTU-BTM_bin.16.o,Nitrate_e0,0.0
PHTU-BTM_bin.16.o,Maltose_e0,0.0
PHTU-BTM_bin.16.o,L-Arginine_e0,0.41
