Sample,Factor,Value
DELA-BTM_bin.6.o,O2_e0,2.0
DELA-BTM_bin.6.o,Fumarate_e0,0.0
DELA-BTM_bin.6.o,D-Glucose_e0,1.79
DELA-BTM_bin.6.o,Nitrate_e0,0.0
DELA-BTM_bin.6.o,Maltose_e0,0.0
DELA-BTM_bin.6.o,L-Arginine_e0,0.45
DELA-BTM_bin.6.o,L-Leucine_e0,0.73
DELA-BTM_bin.6.o,ala-L-Thr-L_e0,0.79
DELA-BTM_bin.6.o,L-Isoleucine_e0,0.0
DELA-BTM_bin.6.o,gly-asn-L_e0,0.37
DELA-BTM_bin.6.o,L-Lysine_e0,0.0
DELA-BTM_bin.6.o,Gly-Phe_e0,0.25
DELA-BTM_bin.6.o,meso-2_6-Diaminopimelate_e0,0.55
DELA-BTM_bin.6.o,Gly-Tyr_e0,0.14
DELA-BTM_bin.6.o,ocdca_e0,0.37
DELA-BTM_bin.6.o,Myristic acid_e0,0.0
DELA-BTM_bin.6.o,UMP_e0,0.02
DELA-BTM_bin.6.o,Gly-Met_e0,0.0
DELA-BTM_bin.6.o,scale_max,2.5
DELA-BTM_bin.6.o,scale_min,-0.5
DELA-BTM_bin.7.s,O2_e0,2.0
DELA-BTM_bin.7.s,Fumarate_e0,2.0
DELA-BTM_bin.7.s,D-Glucose_e0,2.0
DELA-BTM_bin.7.s,Nitrate_e0,2.0
DELA-BTM_bin.7.s,Maltose_e0,2.0
DELA-BTM_bin.7.s,L-Arginine_e0,0.0
DELA-BTM_bin.7.s,L-Leucine_e0,0.0
DELA-BTM_bin.7.s,ala-L-Thr-L_e0,0.92
DELA-BTM_bin.7.s,L-Isoleucine_e0,1.11
DELA-BTM_bin.7.s,gly-asn-L_e0,0.9
DELA-BTM_bin.7.s,L-Lysine_e0,1.05
DELA-BTM_bin.7.s,Gly-Phe_e0,0.78
DELA-BTM_bin.7.s,meso-2_6-Diaminopimelate_e0,0.0
DELA-BTM_bin.7.s,Gly-Tyr_e0,0.68
DELA-BTM_bin.7.s,ocdca_e0,0.52
DELA-BTM_bin.7.s,Myristic acid_e0,0.77
DELA-BTM_bin.7.s,UMP_e0,0.29
DELA-BTM_bin.7.s,Gly-Met_e0,0.71
DELA-BTM_bin.7.s,scale_max,2.5
DELA-BTM_bin.7.s,scale_min,-0.5
TEAK-BTM_bin.3.o,O2_e0,2.0
TEAK-BTM_bin.3.o,Fumarate_e0,2.0
TEAK-BTM_bin.3.o,D-Glucose_e0,1.78
TEAK-BTM_bin.3.o,Nitrate_e0,2.0
TEAK-BTM_bin.3.o,Maltose_e0,0.0
TEAK-BTM_bin.3.o,L-Arginine_e0,0.49
TEAK-BTM_bin.3.o,L-Leucine_e0,0.76
TEAK-BTM_bin.3.o,ala-L-Thr-L_e0,0.57
TEAK-BTM_bin.3.o,L-Isoleucine_e0,0.48
TEAK-BTM_bin.3.o,gly-asn-L_e0,0.39
TEAK-BTM_bin.3.o,L-Lysine_e0,0.55
TEAK-BTM_bin.3.o,Gly-Phe_e0,0.28
TEAK-BTM_bin.3.o,meso-2_6-Diaminopimelate_e0,0.0
TEAK-BTM_bin.3.o,Gly-Tyr_e0,0.18
TEAK-BTM_bin.3.o,ocdca_e0,0.45
TEAK-BTM_bin.3.o,Myristic acid_e0,0.0
TEAK-BTM_bin.3.o,UMP_e0,0.0
TEAK-BTM_bin.3.o,Gly-Met_e0,0.0
TEAK-BTM_bin.3.o,scale_max,2.5
TEAK-BTM_bin.3.o,scale_min,-0.5
