Sample,Factor,Value
KONZ-TOP_bin.3.o,O2_e0,2.0
KONZ-TOP_bin.3.o,Fumarate_e0,2.0
KONZ-TOP_bin.3.o,D-Glucose_e0,1.55
KONZ-TOP_bin.3.o,Nitrate_e0,0.0
KONZ-TOP_bin.3.o,L-Arginine_e0,0.37
KONZ-TOP_bin.3.o,L-Leucine_e0,0.64
KONZ-TOP_bin.3.o,ala-L-Thr-L_e0,0.31
KONZ-TOP_bin.3.o,L-Isoleucine_e0,0.5
KONZ-TOP_bin.3.o,gly-asn-L_e0,0.28
KONZ-TOP_bin.3.o,L-Valine_e0,0.53
KONZ-TOP_bin.3.o,L-Lysine_e0,0.0
KONZ-TOP_bin.3.o,Gly-Phe_e0,0.17
KONZ-TOP_bin.3.o,meso-2_6-Diaminopimelate_e0,0.47
KONZ-TOP_bin.3.o,Gly-Tyr_e0,0.06
KONZ-TOP_bin.3.o,ocdca_e0,0.0
KONZ-TOP_bin.3.o,Gly-Met_e0,0.0
KONZ-TOP_bin.3.o,scale_max,2.5
KONZ-TOP_bin.3.o,scale_min,-0.5
NWBC-TOP_bin.2.o,O2_e0,2.0
NWBC-TOP_bin.2.o,Fumarate_e0,2.0
NWBC-TOP_bin.2.o,D-Glucose_e0,2.0
NWBC-TOP_bin.2.o,Nitrate_e0,0.0
NWBC-TOP_bin.2.o,L-Arginine_e0,0.61
NWBC-TOP_bin.2.o,L-Leucine_e0,0.88
NWBC-TOP_bin.2.o,ala-L-Thr-L_e0,0.55
NWBC-TOP_bin.2.o,L-Isoleucine_e0,0.6
NWBC-TOP_bin.2.o,gly-asn-L_e0,0.0
NWBC-TOP_bin.2.o,L-Valine_e0,0.0
NWBC-TOP_bin.2.o,L-Lysine_e0,0.68
NWBC-TOP_bin.2.o,Gly-Phe_e0,0.41
NWBC-TOP_bin.2.o,meso-2_6-Diaminopimelate_e0,0.0
NWBC-TOP_bin.2.o,Gly-Tyr_e0,0.3
NWBC-TOP_bin.2.o,ocdca_e0,0.54
NWBC-TOP_bin.2.o,Gly-Met_e0,0.34
NWBC-TOP_bin.2.o,scale_max,2.5
NWBC-TOP_bin.2.o,scale_min,-0.5
NWBC-TOP_bin.3.o,O2_e0,2.0
NWBC-TOP_bin.3.o,Fumarate_e0,0.0
NWBC-TOP_bin.3.o,D-Glucose_e0,1.86
NWBC-TOP_bin.3.o,Nitrate_e0,0.0
NWBC-TOP_bin.3.o,L-Arginine_e0,0.42
NWBC-TOP_bin.3.o,L-Leucine_e0,0.0
NWBC-TOP_bin.3.o,ala-L-Thr-L_e0,0.35
NWBC-TOP_bin.3.o,L-Isoleucine_e0,0.54
NWBC-TOP_bin.3.o,gly-asn-L_e0,0.33
NWBC-TOP_bin.3.o,L-Valine_e0,0.58
NWBC-TOP_bin.3.o,L-Lysine_e0,0.49
NWBC-TOP_bin.3.o,Gly-Phe_e0,0.22
NWBC-TOP_bin.3.o,meso-2_6-Diaminopimelate_e0,0.0
NWBC-TOP_bin.3.o,Gly-Tyr_e0,0.11
NWBC-TOP_bin.3.o,ocdca_e0,0.0
NWBC-TOP_bin.3.o,Gly-Met_e0,0.15
NWBC-TOP_bin.3.o,scale_max,2.5
NWBC-TOP_bin.3.o,scale_min,-0.5
NWBC-TOP_bin.5.o,O2_e0,2.0
NWBC-TOP_bin.5.o,Fumarate_e0,2.0
NWBC-TOP_bin.5.o,D-Glucose_e0,2.0
NWBC-TOP_bin.5.o,Nitrate_e0,2.0
NWBC-TOP_bin.5.o,L-Arginine_e0,0.49
NWBC-TOP_bin.5.o,L-Leucine_e0,0.76
NWBC-TOP_bin.5.o,ala-L-Thr-L_e0,0.42
NWBC-TOP_bin.5.o,L-Isoleucine_e0,0.61
NWBC-TOP_bin.5.o,gly-asn-L_e0,0.4
NWBC-TOP_bin.5.o,L-Valine_e0,0.64
NWBC-TOP_bin.5.o,L-Lysine_e0,0.0
NWBC-TOP_bin.5.o,Gly-Phe_e0,0.29
NWBC-TOP_bin.5.o,meso-2_6-Diaminopimelate_e0,0.59
NWBC-TOP_bin.5.o,Gly-Tyr_e0,0.18
NWBC-TOP_bin.5.o,ocdca_e0,0.38
NWBC-TOP_bin.5.o,Gly-Met_e0,0.0
NWBC-TOP_bin.5.o,scale_max,2.5
NWBC-TOP_bin.5.o,scale_min,-0.5
NWBC-TOP_bin.8.o,O2_e0,2.0
NWBC-TOP_bin.8.o,Fumarate_e0,2.0
NWBC-TOP_bin.8.o,D-Glucose_e0,1.86
NWBC-TOP_bin.8.o,Nitrate_e0,1.61
NWBC-TOP_bin.8.o,L-Arginine_e0,0.63
NWBC-TOP_bin.8.o,L-Leucine_e0,0.9
NWBC-TOP_bin.8.o,ala-L-Thr-L_e0,0.56
NWBC-TOP_bin.8.o,L-Isoleucine_e0,0.62
NWBC-TOP_bin.8.o,gly-asn-L_e0,0.39
NWBC-TOP_bin.8.o,L-Valine_e0,0.0
NWBC-TOP_bin.8.o,L-Lysine_e0,0.7
NWBC-TOP_bin.8.o,Gly-Phe_e0,0.43
NWBC-TOP_bin.8.o,meso-2_6-Diaminopimelate_e0,0.0
NWBC-TOP_bin.8.o,Gly-Tyr_e0,0.32
NWBC-TOP_bin.8.o,ocdca_e0,0.17
NWBC-TOP_bin.8.o,Gly-Met_e0,0.0
NWBC-TOP_bin.8.o,scale_max,2.5
NWBC-TOP_bin.8.o,scale_min,-0.5
ORNL-TOP_bin.1.o,O2_e0,2.0
ORNL-TOP_bin.1.o,Fumarate_e0,2.0
ORNL-TOP_bin.1.o,D-Glucose_e0,2.0
ORNL-TOP_bin.1.o,Nitrate_e0,2.0
ORNL-TOP_bin.1.o,L-Arginine_e0,0.53
ORNL-TOP_bin.1.o,L-Leucine_e0,0.28
ORNL-TOP_bin.1.o,ala-L-Thr-L_e0,0.46
ORNL-TOP_bin.1.o,L-Isoleucine_e0,0.52
ORNL-TOP_bin.1.o,gly-asn-L_e0,0.44
ORNL-TOP_bin.1.o,L-Valine_e0,0.69
ORNL-TOP_bin.1.o,L-Lysine_e0,0.59
ORNL-TOP_bin.1.o,Gly-Phe_e0,0.33
ORNL-TOP_bin.1.o,meso-2_6-Diaminopimelate_e0,0.0
ORNL-TOP_bin.1.o,Gly-Tyr_e0,0.22
ORNL-TOP_bin.1.o,ocdca_e0,0.07
ORNL-TOP_bin.1.o,Gly-Met_e0,0.25
ORNL-TOP_bin.1.o,scale_max,2.5
ORNL-TOP_bin.1.o,scale_min,-0.5
SERC-TOP_bin.1.o,O2_e0,2.0
SERC-TOP_bin.1.o,Fumarate_e0,2.0
SERC-TOP_bin.1.o,D-Glucose_e0,2.0
SERC-TOP_bin.1.o,Nitrate_e0,0.0
SERC-TOP_bin.1.o,L-Arginine_e0,1.85
SERC-TOP_bin.1.o,L-Leucine_e0,0.79
SERC-TOP_bin.1.o,ala-L-Thr-L_e0,0.45
SERC-TOP_bin.1.o,L-Isoleucine_e0,0.64
SERC-TOP_bin.1.o,gly-asn-L_e0,0.43
SERC-TOP_bin.1.o,L-Valine_e0,0.68
SERC-TOP_bin.1.o,L-Lysine_e0,0.58
SERC-TOP_bin.1.o,Gly-Phe_e0,0.32
SERC-TOP_bin.1.o,meso-2_6-Diaminopimelate_e0,0.0
SERC-TOP_bin.1.o,Gly-Tyr_e0,0.21
SERC-TOP_bin.1.o,ocdca_e0,0.06
SERC-TOP_bin.1.o,Gly-Met_e0,0.24
SERC-TOP_bin.1.o,scale_max,2.5
SERC-TOP_bin.1.o,scale_min,-0.5
WY01-TOP_bin.1.o,O2_e0,2.0
WY01-TOP_bin.1.o,Fumarate_e0,2.0
WY01-TOP_bin.1.o,D-Glucose_e0,1.9
WY01-TOP_bin.1.o,Nitrate_e0,1.56
WY01-TOP_bin.1.o,L-Arginine_e0,0.62
WY01-TOP_bin.1.o,L-Leucine_e0,0.89
WY01-TOP_bin.1.o,ala-L-Thr-L_e0,0.55
