Sample,Factor,Value
CFS2-TOP_bin.3.o,O2_e0,2.0
CFS2-TOP_bin.3.o,Fumarate_e0,2.0
CFS2-TOP_bin.3.o,D-Glucose_e0,2.0
CFS2-TOP_bin.3.o,Nitrate_e0,0.0
CFS2-TOP_bin.3.o,Maltose_e0,0.0
CFS2-TOP_bin.3.o,L-Arginine_e0,0.0
CFS2-TOP_bin.3.o,L-Leucine_e0,0.0
CFS2-TOP_bin.3.o,ala-L-Thr-L_e0,0.47
CFS2-TOP_bin.3.o,L-Isoleucine_e0,0.0
CFS2-TOP_bin.3.o,gly-asn-L_e0,0.0
CFS2-TOP_bin.3.o,L-Valine_e0,0.0
CFS2-TOP_bin.3.o,L-Lysine_e0,0.2
CFS2-TOP_bin.3.o,Gly-Phe_e0,0.0
CFS2-TOP_bin.3.o,meso-2_6-Diaminopimelate_e0,0.0
CFS2-TOP_bin.3.o,Gly-Tyr_e0,0.0
CFS2-TOP_bin.3.o,ocdca_e0,0.0
CFS2-TOP_bin.3.o,Ala-His_e0,0.0
CFS2-TOP_bin.3.o,UMP_e0,0.0
CFS2-TOP_bin.3.o,scale_max,2.5
CFS2-TOP_bin.3.o,scale_min,-0.5
CFS2-TOP_bin.7.o,O2_e0,2.0
CFS2-TOP_bin.7.o,Fumarate_e0,0.0
CFS2-TOP_bin.7.o,D-Glucose_e0,1.79
CFS2-TOP_bin.7.o,Nitrate_e0,0.0
CFS2-TOP_bin.7.o,Maltose_e0,0.0
CFS2-TOP_bin.7.o,L-Arginine_e0,0.45
CFS2-TOP_bin.7.o,L-Leucine_e0,0.72
CFS2-TOP_bin.7.o,ala-L-Thr-L_e0,0.39
CFS2-TOP_bin.7.o,L-Isoleucine_e0,0.58
CFS2-TOP_bin.7.o,gly-asn-L_e0,0.36
CFS2-TOP_bin.7.o,L-Valine_e0,0.61
CFS2-TOP_bin.7.o,L-Lysine_e0,0.52
CFS2-TOP_bin.7.o,Gly-Phe_e0,0.25
CFS2-TOP_bin.7.o,meso-2_6-Diaminopimelate_e0,0.0
CFS2-TOP_bin.7.o,Gly-Tyr_e0,0.14
CFS2-TOP_bin.7.o,ocdca_e0,0.0
CFS2-TOP_bin.7.o,Ala-His_e0,0.0
CFS2-TOP_bin.7.o,UMP_e0,0.0
CFS2-TOP_bin.7.o,scale_max,2.5
CFS2-TOP_bin.7.o,scale_min,-0.5
OCTU-TOP_bin.21.o,O2_e0,2.0
OCTU-TOP_bin.21.o,Fumarate_e0,2.0
OCTU-TOP_bin.21.o,D-Glucose_e0,1.54
OCTU-TOP_bin.21.o,Nitrate_e0,2.0
OCTU-TOP_bin.21.o,Maltose_e0,1.6
OCTU-TOP_bin.21.o,L-Arginine_e0,1.01
OCTU-TOP_bin.21.o,L-Leucine_e0,1.29
OCTU-TOP_bin.21.o,ala-L-Thr-L_e0,1.35
OCTU-TOP_bin.21.o,L-Isoleucine_e0,0.0
OCTU-TOP_bin.21.o,gly-asn-L_e0,0.92
OCTU-TOP_bin.21.o,L-Valine_e0,0.0
OCTU-TOP_bin.21.o,L-Lysine_e0,1.08
OCTU-TOP_bin.21.o,Gly-Phe_e0,0.81
OCTU-TOP_bin.21.o,meso-2_6-Diaminopimelate_e0,0.02
OCTU-TOP_bin.21.o,Gly-Tyr_e0,0.7
OCTU-TOP_bin.21.o,ocdca_e0,0.55
OCTU-TOP_bin.21.o,Ala-His_e0,0.52
OCTU-TOP_bin.21.o,UMP_e0,0.0
OCTU-TOP_bin.21.o,scale_max,2.5
OCTU-TOP_bin.21.o,scale_min,-0.5
OSBS-TOP_bin.1.o,O2_e0,2.0
OSBS-TOP_bin.1.o,Fumarate_e0,2.0
OSBS-TOP_bin.1.o,D-Glucose_e0,2.0
OSBS-TOP_bin.1.o,Nitrate_e0,2.0
OSBS-TOP_bin.1.o,Maltose_e0,0.0
OSBS-TOP_bin.1.o,L-Arginine_e0,1.05
OSBS-TOP_bin.1.o,L-Leucine_e0,0.0
OSBS-TOP_bin.1.o,ala-L-Thr-L_e0,1.23
OSBS-TOP_bin.1.o,L-Isoleucine_e0,0.87
OSBS-TOP_bin.1.o,gly-asn-L_e0,0.96
OSBS-TOP_bin.1.o,L-Valine_e0,1.05
OSBS-TOP_bin.1.o,L-Lysine_e0,1.11
OSBS-TOP_bin.1.o,Gly-Phe_e0,0.85
OSBS-TOP_bin.1.o,meso-2_6-Diaminopimelate_e0,0.06
OSBS-TOP_bin.1.o,Gly-Tyr_e0,0.74
OSBS-TOP_bin.1.o,ocdca_e0,0.59
OSBS-TOP_bin.1.o,Ala-His_e0,0.56
OSBS-TOP_bin.1.o,UMP_e0,0.62
OSBS-TOP_bin.1.o,scale_max,2.5
OSBS-TOP_bin.1.o,scale_min,-0.5
PPRH-TOP_bin.10.o,O2_e0,2.0
PPRH-TOP_bin.10.o,Fumarate_e0,2.0
PPRH-TOP_bin.10.o,D-Glucose_e0,2.0
PPRH-TOP_bin.10.o,Nitrate_e0,2.0
PPRH-TOP_bin.10.o,Maltose_e0,0.0
PPRH-TOP_bin.10.o,L-Arginine_e0,0.0
PPRH-TOP_bin.10.o,L-Leucine_e0,0.0
PPRH-TOP_bin.10.o,ala-L-Thr-L_e0,0.59
PPRH-TOP_bin.10.o,L-Isoleucine_e0,0.51
PPRH-TOP_bin.10.o,gly-asn-L_e0,0.36
PPRH-TOP_bin.10.o,L-Valine_e0,0.0
PPRH-TOP_bin.10.o,L-Lysine_e0,0.58
PPRH-TOP_bin.10.o,Gly-Phe_e0,0.31
PPRH-TOP_bin.10.o,meso-2_6-Diaminopimelate_e0,0.0
PPRH-TOP_bin.10.o,Gly-Tyr_e0,0.16
PPRH-TOP_bin.10.o,ocdca_e0,0.05
PPRH-TOP_bin.10.o,Ala-His_e0,0.02
PPRH-TOP_bin.10.o,UMP_e0,0.0
PPRH-TOP_bin.10.o,scale_max,2.5
PPRH-TOP_bin.10.o,scale_min,-0.5
PPRH-TOP_bin.13.o,O2_e0,2.0
PPRH-TOP_bin.13.o,Fumarate_e0,2.0
PPRH-TOP_bin.13.o,D-Glucose_e0,2.0
PPRH-TOP_bin.13.o,Nitrate_e0,0.0
PPRH-TOP_bin.13.o,Maltose_e0,0.37
PPRH-TOP_bin.13.o,L-Arginine_e0,0.01
PPRH-TOP_bin.13.o,L-Leucine_e0,0.0
PPRH-TOP_bin.13.o,ala-L-Thr-L_e0,0.0
PPRH-TOP_bin.13.o,L-Isoleucine_e0,0.0
PPRH-TOP_bin.13.o,gly-asn-L_e0,0.0
PPRH-TOP_bin.13.o,L-Valine_e0,0.16
PPRH-TOP_bin.13.o,L-Lysine_e0,0.07
PPRH-TOP_bin.13.o,Gly-Phe_e0,0.0
PPRH-TOP_bin.13.o,meso-2_6-Diaminopimelate_e0,0.0
PPRH-TOP_bin.13.o,Gly-Tyr_e0,0.0
PPRH-TOP_bin.13.o,ocdca_e0,0.0
PPRH-TOP_bin.13.o,Ala-His_e0,0.0
PPRH-TOP_bin.13.o,UMP_e0,0.0
PPRH-TOP_bin.13.o,scale_max,2.5
PPRH-TOP_bin.13.o,scale_min,-0.5
PPRH-TOP_bin.24.o,O2_e0,2.0
PPRH-TOP_bin.24.o,Fumarate_e0,2.0
PPRH-TOP_bin.24.o,D-Glucose_e0,1.65
PPRH-TOP_bin.24.o,Nitrate_e0,0.0
PPRH-TOP_bin.24.o,Maltose_e0,0.0
PPRH-TOP_bin.24.o,L-Arginine_e0,0.5
PPRH-TOP_bin.24.o,L-Leucine_e0,0.77
PPRH-TOP_bin.24.o,ala-L-Thr-L_e0,0.43
PPRH-TOP_bin.24.o,L-Isoleucine_e0,0.32
PPRH-TOP_bin.24.o,gly-asn-L_e0,0.41
PPRH-TOP_bin.24.o,L-Valine_e0,0.0
PPRH-TOP_bin.24.o,L-Lysine_e0,0.56
PPRH-TOP_bin.24.o,Gly-Phe_e0,0.29
PPRH-TOP_bin.24.o,meso-2_6-Diaminopimelate_e0,0.0
PPRH-TOP_bin.24.o,Gly-Tyr_e0,0.19
PPRH-TOP_bin.24.o,ocdca_e0,0.04
PPRH-TOP_bin.24.o,Ala-His_e0,0.01
PPRH-TOP_bin.24.o,UMP_e0,0.28
PPRH-TOP_bin.24.o,scale_max,2.5
PPRH-TOP_bin.24.o,scale_min,-0.5
PPRH-TOP_bin.25.o,O2_e0,2.0
PPRH-TOP_bin.25.o,Fumarate_e0,2.0
PPRH-TOP_bin.25.o,D-Glucose_e0,2.0
PPRH-TOP_bin.25.o,Nitrate_e0,2.0
PPRH-TOP_bin.25.o,Maltose_e0,0.0
PPRH-TOP_bin.25.o,L-Arginine_e0,0.64
PPRH-TOP_bin.25.o,L-Leucine_e0,0.91
PPRH-TOP_bin.25.o,ala-L-Thr-L_e0,0.57
PPRH-TOP_bin.25.o,L-Isoleucine_e0,0.76
PPRH-TOP_bin.25.o,gly-asn-L_e0,0.55
PPRH-TOP_bin.25.o,L-Valine_e0,0.79
PPRH-TOP_bin.25.o,L-Lysine_e0,0.0
PPRH-TOP_bin.25.o,Gly-Phe_e0,0.4
PPRH-TOP_bin.25.o,meso-2_6-Diaminopimelate_e0,0.74
PPRH-TOP_bin.25.o,Gly-Tyr_e0,0.33
PPRH-TOP_bin.25.o,ocdca_e0,0.18
PPRH-TOP_bin.25.o,Ala-His_e0,0.15
PPRH-TOP_bin.25.o,UMP_e0,0.21
PPRH-TOP_bin.25.o,scale_max,2.5
PPRH-TOP_bin.25.o,scale_min,-0.5
PPRH-TOP_bin.29.o,O2_e0,2.0
PPRH-TOP_bin.29.o,Fumarate_e0,0.0
PPRH-TOP_bin.29.o,D-Glucose_e0,1.87
PPRH-TOP_bin.29.o,Nitrate_e0,0.0
PPRH-TOP_bin.29.o,Maltose_e0,0.0
PPRH-TOP_bin.29.o,L-Arginine_e0,1.83
PPRH-TOP_bin.29.o,L-Leucine_e0,0.77
PPRH-TOP_bin.29.o,ala-L-Thr-L_e0,0.43
PPRH-TOP_bin.29.o,L-Isoleucine_e0,0.62
PPRH-TOP_bin.29.o,gly-asn-L_e0,0.22
PPRH-TOP_bin.29.o,L-Valine_e0,0.0
PPRH-TOP_bin.29.o,L-Lysine_e0,0.0
PPRH-TOP_bin.29.o,Gly-Phe_e0,0.29
PPRH-TOP_bin.29.o,meso-2_6-Diaminopimelate_e0,0.6
PPRH-TOP_bin.29.o,Gly-Tyr_e0,0.19
PPRH-TOP_bin.29.o,ocdca_e0,0.04
PPRH-TOP_bin.29.o,Ala-His_e0,0.0
PPRH-TOP_bin.29.o,UMP_e0,0.0
PPRH-TOP_bin.29.o,scale_max,2.5
PPRH-TOP_bin.29.o,scale_min,-0.5
PPRH-TOP_bin.3.o,O2_e0,2.0
PPRH-TOP_bin.3.o,Fumarate_e0,2.0
PPRH-TOP_bin.3.o,D-Glucose_e0,2.0
PPRH-TOP_bin.3.o,Nitrate_e0,0.85
PPRH-TOP_bin.3.o,Maltose_e0,0.0
PPRH-TOP_bin.3.o,L-Arginine_e0,0.62
PPRH-TOP_bin.3.o,L-Leucine_e0,0.89
PPRH-TOP_bin.3.o,ala-L-Thr-L_e0,0.56
PPRH-TOP_bin.3.o,L-Isoleucine_e0,0.61
PPRH-TOP_bin.3.o,gly-asn-L_e0,0.53
PPRH-TOP_bin.3.o,L-Valine_e0,0.77
PPRH-TOP_bin.3.o,L-Lysine_e0,0.68
PPRH-TOP_bin.3.o,Gly-Phe_e0,0.42
PPRH-TOP_bin.3.o,meso-2_6-Diaminopimelate_e0,0.0
PPRH-TOP_bin.3.o,Gly-Tyr_e0,0.31
PPRH-TOP_bin.3.o,ocdca_e0,0.16
PPRH-TOP_bin.3.o,Ala-His_e0,0.13
PPRH-TOP_bin.3.o,UMP_e0,0.0
PPRH-TOP_bin.3.o,scale_max,2.5
PPRH-TOP_bin.3.o,scale_min,-0.5
PPRH-TOP_bin.41.s,O2_e0,2.0
PPRH-TOP_bin.41.s,Fumarate_e0,2.0
PPRH-TOP_bin.41.s,D-Glucose_e0,2.0
PPRH-TOP_bin.41.s,Nitrate_e0,2.0
PPRH-TOP_bin.41.s,Maltose_e0,0.0
PPRH-TOP_bin.41.s,L-Arginine_e0,0.72
PPRH-TOP_bin.41.s,L-Leucine_e0,0.99
